,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_class_weight,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,precision_score,recall_score
0,0.004081583023071289,0.0007151619945130728,0.0024132728576660156,0.0002327404996891236,0.01,balanced,"{'C': 0.01, 'class_weight': 'balanced'}",0.7647058823529411,0.6111111111111112,0.7777777777777778,0.7777777777777778,0.7222222222222222,0.730718954248366,0.06318608647637619,1,0.6333333333333333,0.6333333333333333
1,0.0035823822021484376,0.0007872963375623217,0.0022464275360107424,0.00014280308832608334,0.01,,"{'C': 0.01, 'class_weight': None}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0.6333333333333333,0.6333333333333333
2,0.0040629863739013675,0.0006336155495858199,0.0024403095245361327,0.00023085073170582145,0.1,balanced,"{'C': 0.1, 'class_weight': 'balanced'}",0.7647058823529411,0.6111111111111112,0.6111111111111112,0.8333333333333334,0.7222222222222222,0.7084967320261438,0.08706314146586515,2,0.6333333333333333,0.6333333333333333
3,0.003720378875732422,0.0004121914165908655,0.0023627281188964844,0.0001749981326658237,0.1,,"{'C': 0.1, 'class_weight': None}",0.5882352941176471,0.3888888888888889,0.3333333333333333,0.5,0.5,0.4620915032679738,0.09024816152780173,15,0.6333333333333333,0.6333333333333333
4,0.004658651351928711,0.00016319896461898414,0.002886962890625,0.0006244408147145488,0.5,balanced,"{'C': 0.5, 'class_weight': 'balanced'}",0.7647058823529411,0.5555555555555556,0.5,0.8333333333333334,0.7222222222222222,0.6751633986928105,0.12667941415853406,3,0.6333333333333333,0.6333333333333333
5,0.004431724548339844,0.0005688965862333995,0.0024588584899902345,0.0002853674750446071,0.5,,"{'C': 0.5, 'class_weight': None}",0.5294117647058824,0.5,0.3888888888888889,0.5,0.4444444444444444,0.47254901960784307,0.05005870363102381,14,0.6333333333333333,0.6333333333333333
6,0.004810953140258789,0.0006222935121281651,0.002418231964111328,0.0001907416223282078,1,balanced,"{'C': 1, 'class_weight': 'balanced'}",0.7647058823529411,0.5555555555555556,0.5,0.8333333333333334,0.7222222222222222,0.6751633986928105,0.12667941415853406,3,0.6333333333333333,0.6333333333333333
7,0.004345512390136719,0.0003580204589023038,0.002470111846923828,0.00039211342128021723,1,,"{'C': 1, 'class_weight': None}",0.5882352941176471,0.5,0.3888888888888889,0.6111111111111112,0.3888888888888889,0.4954248366013072,0.09457044312515517,12,0.6333333333333333,0.6333333333333333
8,0.014086389541625976,0.0029428531079081794,0.0028441429138183595,0.0002748381750235055,10,balanced,"{'C': 10, 'class_weight': 'balanced'}",0.7647058823529411,0.5555555555555556,0.5,0.8333333333333334,0.7222222222222222,0.6751633986928105,0.12667941415853406,3,0.6333333333333333,0.6333333333333333
9,0.012680959701538087,0.0030615742776949986,0.0025016307830810548,6.432913238070987e-05,10,,"{'C': 10, 'class_weight': None}",0.5882352941176471,0.5,0.3888888888888889,0.6111111111111112,0.3888888888888889,0.4954248366013072,0.09457044312515517,12,0.6333333333333333,0.6333333333333333
10,0.050006771087646486,0.016237456774942774,0.002756500244140625,0.0003446889094411644,50,balanced,"{'C': 50, 'class_weight': 'balanced'}",0.7647058823529411,0.5555555555555556,0.5,0.8333333333333334,0.7222222222222222,0.6751633986928105,0.12667941415853406,3,0.6333333333333333,0.6333333333333333
11,0.04982891082763672,0.013250129592531029,0.0027373313903808595,0.0002609526974664439,50,,"{'C': 50, 'class_weight': None}",0.6470588235294118,0.5,0.3888888888888889,0.6111111111111112,0.3888888888888889,0.5071895424836601,0.10807857050245433,9,0.6333333333333333,0.6333333333333333
12,0.08030610084533692,0.02175515265762508,0.0026751995086669923,0.0001543853068418042,100,balanced,"{'C': 100, 'class_weight': 'balanced'}",0.7647058823529411,0.5555555555555556,0.5,0.8333333333333334,0.7222222222222222,0.6751633986928105,0.12667941415853406,3,0.6333333333333333,0.6333333333333333
13,0.07071590423583984,0.008557704127272468,0.002831554412841797,0.0002995151408222017,100,,"{'C': 100, 'class_weight': None}",0.6470588235294118,0.5,0.3888888888888889,0.6111111111111112,0.3888888888888889,0.5071895424836601,0.10807857050245433,9,0.6333333333333333,0.6333333333333333
14,0.980963134765625,0.21623092580482678,0.0027799606323242188,0.00017300825752141234,1000,balanced,"{'C': 1000, 'class_weight': 'balanced'}",0.7647058823529411,0.5555555555555556,0.5,0.8333333333333334,0.7222222222222222,0.6751633986928105,0.12667941415853406,3,0.6333333333333333,0.6333333333333333
15,0.8947470188140869,0.21794593202139234,0.002932834625244141,0.0003989366088211825,1000,,"{'C': 1000, 'class_weight': None}",0.6470588235294118,0.5,0.3888888888888889,0.6111111111111112,0.3888888888888889,0.5071895424836601,0.10807857050245433,9,0.6333333333333333,0.6333333333333333
