,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,precision_score,recall_score
0,0.004926109313964843,0.00045971861766984113,0.0032587051391601562,0.0004620850999214527,0.1,1,"{'C': 0.1, 'gamma': 1}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,0.2962962962962963,0.3333333333333333
1,0.003766965866088867,0.0001663728100057743,0.0026070117950439454,0.00011048879802527626,0.1,0.1,"{'C': 0.1, 'gamma': 0.1}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,0.2962962962962963,0.3333333333333333
2,0.0036746501922607423,2.2737983763811328e-05,0.002581214904785156,0.00011739238880550142,0.1,0.01,"{'C': 0.1, 'gamma': 0.01}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,0.2962962962962963,0.3333333333333333
3,0.0036401748657226562,0.00011693229428824976,0.0026558399200439452,0.00020227309725263075,0.1,0.001,"{'C': 0.1, 'gamma': 0.001}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,0.2962962962962963,0.3333333333333333
4,0.0035605430603027344,6.987722764088358e-05,0.0025214672088623045,8.328536688373661e-05,0.1,0.0001,"{'C': 0.1, 'gamma': 0.0001}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,0.2962962962962963,0.3333333333333333
5,0.0044571876525878905,0.0003717796119499287,0.002936697006225586,0.0003178217708222742,0.5,1,"{'C': 0.5, 'gamma': 1}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,0.2962962962962963,0.3333333333333333
6,0.0036981582641601564,0.0001212317002786479,0.0026093006134033205,0.00015080184520428676,0.5,0.1,"{'C': 0.5, 'gamma': 0.1}",0.3684210526315789,0.3157894736842105,0.3684210526315789,0.21052631578947367,0.3684210526315789,0.3263157894736842,0.06137844099837158,14,0.2962962962962963,0.3333333333333333
7,0.0036746978759765623,0.00013000538161567131,0.0024783134460449217,0.00013375578926319286,0.5,0.01,"{'C': 0.5, 'gamma': 0.01}",0.0,0.0,0.05263157894736842,0.0,0.0,0.010526315789473684,0.021052631578947364,22,0.2962962962962963,0.3333333333333333
8,0.0036397933959960937,0.00016875903653017332,0.0024665355682373046,9.833852841111755e-05,0.5,0.001,"{'C': 0.5, 'gamma': 0.001}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,0.2962962962962963,0.3333333333333333
9,0.003620338439941406,0.00015473813225341272,0.0024918079376220702,9.097780567465472e-05,0.5,0.0001,"{'C': 0.5, 'gamma': 0.0001}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,0.2962962962962963,0.3333333333333333
10,0.004422473907470703,3.4850370438412645e-05,0.002670955657958984,0.0001679425886709741,1,1,"{'C': 1, 'gamma': 1}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,0.2962962962962963,0.3333333333333333
11,0.0037634849548339845,0.00019052931916095975,0.0025740146636962892,9.282800969676216e-05,1,0.1,"{'C': 1, 'gamma': 0.1}",0.5263157894736842,0.42105263157894735,0.3684210526315789,0.21052631578947367,0.47368421052631576,0.39999999999999997,0.10837505411565262,13,0.2962962962962963,0.3333333333333333
12,0.003726339340209961,0.00023686967306280141,0.00257568359375,0.00010051602882179914,1,0.01,"{'C': 1, 'gamma': 0.01}",0.05263157894736842,0.21052631578947367,0.21052631578947367,0.05263157894736842,0.21052631578947367,0.14736842105263157,0.07735230766683719,15,0.2962962962962963,0.3333333333333333
13,0.003680706024169922,0.00012184183151117075,0.002455997467041016,0.00011173144262213116,1,0.001,"{'C': 1, 'gamma': 0.001}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,0.2962962962962963,0.3333333333333333
14,0.0037119388580322266,0.00022492570999818685,0.0024672508239746093,0.00010051378935363734,1,0.0001,"{'C': 1, 'gamma': 0.0001}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,0.2962962962962963,0.3333333333333333
15,0.004586505889892578,0.00013810552549650148,0.00270233154296875,0.00011922222067316567,10,1,"{'C': 10, 'gamma': 1}",0.10526315789473684,0.10526315789473684,0.05263157894736842,0.10526315789473684,0.15789473684210525,0.10526315789473684,0.0332871332649303,18,0.2962962962962963,0.3333333333333333
16,0.004634857177734375,0.0003930115751764523,0.0025644779205322267,0.00010579687372850907,10,0.1,"{'C': 10, 'gamma': 0.1}",0.5789473684210527,0.631578947368421,0.5263157894736842,0.3157894736842105,0.42105263157894735,0.4947368421052632,0.11337189067651587,2,0.2962962962962963,0.3333333333333333
17,0.0039574623107910155,0.00014695726682700528,0.002614879608154297,0.00013515693332741074,10,0.01,"{'C': 10, 'gamma': 0.01}",0.631578947368421,0.47368421052631576,0.3157894736842105,0.3684210526315789,0.5789473684210527,0.47368421052631576,0.12001846579990927,8,0.2962962962962963,0.3333333333333333
18,0.003597736358642578,0.00019171818935640988,0.0024670124053955077,8.111063134488093e-05,10,0.001,"{'C': 10, 'gamma': 0.001}",0.05263157894736842,0.21052631578947367,0.21052631578947367,0.05263157894736842,0.21052631578947367,0.14736842105263157,0.07735230766683719,15,0.2962962962962963,0.3333333333333333
19,0.00360722541809082,0.0001371570012108509,0.0025127410888671877,0.00010516171919376078,10,0.0001,"{'C': 10, 'gamma': 0.0001}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,0.2962962962962963,0.3333333333333333
