,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_class_weight,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.004401063919067383,0.0006795964680840612,0.0023931026458740234,0.0005213991512741141,0.1,balanced,1,"{'C': 0.1, 'class_weight': 'balanced', 'gamma': 1}",0.6923076923076923,0.6923076923076923,0.3269230769230769,0.39215686274509803,0.43137254901960786,0.5070135746606335,0.15492839409006962,70
1,0.004197597503662109,0.00037063117105623413,0.0019891738891601564,0.0002079546601054293,0.1,balanced,0.1,"{'C': 0.1, 'class_weight': 'balanced', 'gamma': 0.1}",0.75,0.6153846153846154,0.6538461538461539,0.5294117647058824,0.6666666666666666,0.6430618401206636,0.07182148384439072,65
2,0.00404047966003418,4.5663475864411636e-05,0.0019483566284179688,0.00010576673831061759,0.1,balanced,0.01,"{'C': 0.1, 'class_weight': 'balanced', 'gamma': 0.01}",0.7307692307692307,0.7115384615384616,0.5384615384615384,0.7058823529411765,0.6666666666666666,0.6706636500754148,0.06930679947272833,47
3,0.004026174545288086,0.00014424580185562575,0.0020475864410400392,9.109866272171416e-05,0.1,balanced,0.001,"{'C': 0.1, 'class_weight': 'balanced', 'gamma': 0.001}",0.6923076923076923,0.6923076923076923,0.3269230769230769,0.3137254901960784,0.6862745098039216,0.5423076923076924,0.18131012117726134,67
4,0.004015922546386719,7.357135332970205e-05,0.001988649368286133,5.674662702279999e-05,0.1,balanced,0.0001,"{'C': 0.1, 'class_weight': 'balanced', 'gamma': 0.0001}",0.6923076923076923,0.6923076923076923,0.3269230769230769,0.6862745098039216,0.3137254901960784,0.5423076923076924,0.18131012117726134,67
5,0.003946447372436523,0.0003114055001966103,0.0020051002502441406,7.421936285674076e-05,0.1,,1,"{'C': 0.1, 'class_weight': None, 'gamma': 1}",0.6923076923076923,0.6923076923076923,0.6730769230769231,0.6862745098039216,0.6862745098039216,0.6860482654600302,0.007024513437221705,22
6,0.003545236587524414,0.00022903349937847094,0.0020476818084716798,0.0002475042366492133,0.1,,0.1,"{'C': 0.1, 'class_weight': None, 'gamma': 0.1}",0.6923076923076923,0.6923076923076923,0.6730769230769231,0.6862745098039216,0.6862745098039216,0.6860482654600302,0.007024513437221705,22
7,0.004318141937255859,0.0019205505444054474,0.002206087112426758,0.0008818365910839949,0.1,,0.01,"{'C': 0.1, 'class_weight': None, 'gamma': 0.01}",0.6923076923076923,0.6923076923076923,0.6730769230769231,0.6862745098039216,0.6862745098039216,0.6860482654600302,0.007024513437221705,22
8,0.003224611282348633,0.00011915978357418454,0.001773500442504883,1.3148606308655527e-05,0.1,,0.001,"{'C': 0.1, 'class_weight': None, 'gamma': 0.001}",0.6923076923076923,0.6923076923076923,0.6730769230769231,0.6862745098039216,0.6862745098039216,0.6860482654600302,0.007024513437221705,22
9,0.0031992435455322266,8.026779917572823e-05,0.001821279525756836,0.00010112658305515049,0.1,,0.0001,"{'C': 0.1, 'class_weight': None, 'gamma': 0.0001}",0.6923076923076923,0.6923076923076923,0.6730769230769231,0.6862745098039216,0.6862745098039216,0.6860482654600302,0.007024513437221705,22
