,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_class_weight,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.0035361289978027345,0.00011325887334315573,0.0017689704895019532,6.573812025957343e-05,0.01,balanced,"{'C': 0.01, 'class_weight': 'balanced'}",0.8076923076923077,0.6153846153846154,0.6538461538461539,0.6470588235294118,0.6470588235294118,0.6742081447963801,0.06806909918965358,16
1,0.003974723815917969,0.0011610841691468774,0.002400112152099609,0.0009360546535711877,0.01,,"{'C': 0.01, 'class_weight': None}",0.6923076923076923,0.6923076923076923,0.6730769230769231,0.6862745098039216,0.6862745098039216,0.6860482654600302,0.007024513437221705,15
2,0.004979133605957031,0.0012871109082104272,0.0026314258575439453,0.0010476147200605063,0.1,balanced,"{'C': 0.1, 'class_weight': 'balanced'}",0.75,0.6538461538461539,0.6730769230769231,0.7843137254901961,0.7058823529411765,0.7134238310708898,0.04816106262295418,8
3,0.003939676284790039,0.0007527493317610755,0.0016713142395019531,6.696260731692644e-05,0.1,,"{'C': 0.1, 'class_weight': None}",0.8076923076923077,0.6346153846153846,0.7115384615384616,0.7843137254901961,0.7058823529411765,0.7288084464555052,0.06164363812434411,7
4,0.003891468048095703,0.0002206854193201719,0.0018229484558105469,0.00019595675086047273,0.5,balanced,"{'C': 0.5, 'class_weight': 'balanced'}",0.7307692307692307,0.6346153846153846,0.6730769230769231,0.7843137254901961,0.7058823529411765,0.7057315233785821,0.05084466568499533,9
5,0.0037869930267333983,0.00039887054621741305,0.0016767501831054688,0.0001511146081768048,0.5,,"{'C': 0.5, 'class_weight': None}",0.7884615384615384,0.6538461538461539,0.6923076923076923,0.8431372549019608,0.7058823529411765,0.7367269984917044,0.06898305099856554,1
6,0.004401969909667969,0.00046580719306115375,0.0018991470336914063,0.00015823585144071996,1,balanced,"{'C': 1, 'class_weight': 'balanced'}",0.7115384615384616,0.6153846153846154,0.6538461538461539,0.7843137254901961,0.7058823529411765,0.6941930618401206,0.05726758359015039,10
7,0.003987026214599609,0.000250585362644365,0.001752948760986328,0.000248271557081543,1,,"{'C': 1, 'class_weight': None}",0.7884615384615384,0.6346153846153846,0.6923076923076923,0.8431372549019608,0.6862745098039216,0.7289592760180994,0.07568781645435232,6
8,0.013469171524047852,0.004179774977757054,0.001920175552368164,7.770242554321621e-05,10,balanced,"{'C': 10, 'class_weight': 'balanced'}",0.6923076923076923,0.5961538461538461,0.6538461538461539,0.7843137254901961,0.7058823529411765,0.686500754147813,0.061976819812469976,14
9,0.010556602478027343,0.0021492135801529726,0.0018763542175292969,9.810071342608883e-05,10,,"{'C': 10, 'class_weight': None}",0.7884615384615384,0.6730769230769231,0.6730769230769231,0.8431372549019608,0.6862745098039216,0.7328054298642535,0.07010111212825852,2
10,0.031682825088500975,0.005390178835809785,0.0019454002380371095,4.129602502638548e-05,50,balanced,"{'C': 50, 'class_weight': 'balanced'}",0.6923076923076923,0.6346153846153846,0.6538461538461539,0.7843137254901961,0.7058823529411765,0.6941930618401206,0.05184457689984077,10
11,0.03444294929504395,0.008959146320320585,0.0019548416137695314,7.06577745103587e-05,50,,"{'C': 50, 'class_weight': None}",0.7884615384615384,0.6730769230769231,0.6730769230769231,0.8431372549019608,0.6862745098039216,0.7328054298642535,0.07010111212825852,2
12,0.07794742584228516,0.031235274115592845,0.00195770263671875,3.379978387274085e-05,100,balanced,"{'C': 100, 'class_weight': 'balanced'}",0.6923076923076923,0.6346153846153846,0.6538461538461539,0.7843137254901961,0.7058823529411765,0.6941930618401206,0.05184457689984077,10
13,0.07366342544555664,0.020042174179740607,0.0019503116607666015,9.681642759878939e-05,100,,"{'C': 100, 'class_weight': None}",0.7884615384615384,0.6730769230769231,0.6730769230769231,0.8431372549019608,0.6862745098039216,0.7328054298642535,0.07010111212825852,2
14,0.7051859855651855,0.3157283493275873,0.002084159851074219,0.00023204880404967992,1000,balanced,"{'C': 1000, 'class_weight': 'balanced'}",0.6923076923076923,0.6346153846153846,0.6538461538461539,0.7843137254901961,0.7058823529411765,0.6941930618401206,0.05184457689984077,10
15,0.6349749565124512,0.2636515854984984,0.0022837638854980467,0.0006658843949858847,1000,,"{'C': 1000, 'class_weight': None}",0.7884615384615384,0.6730769230769231,0.6730769230769231,0.8431372549019608,0.6862745098039216,0.7328054298642535,0.07010111212825852,2
