,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_class_weight,param_coef0,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.005251264572143555,0.0009604312257247655,0.0025531768798828123,0.00021579757519818365,0.1,balanced,0.0,1,"{'C': 0.1, 'class_weight': 'balanced', 'coef0': 0.0, 'gamma': 1}",0.6461538461538462,0.6615384615384615,0.6615384615384615,0.34375,0.34375,0.5313461538461539,0.1532745993654881,542
1,0.0046996593475341795,0.0006982929651378321,0.0023684978485107424,0.00011873957601112247,0.1,balanced,0.0,0.1,"{'C': 0.1, 'class_weight': 'balanced', 'coef0': 0.0, 'gamma': 0.1}",0.6461538461538462,0.6615384615384615,0.6615384615384615,0.34375,0.34375,0.5313461538461539,0.1532745993654881,542
2,0.0061299800872802734,0.0007489798137456669,0.002459716796875,0.00011259148206696708,0.1,balanced,0.0,0.01,"{'C': 0.1, 'class_weight': 'balanced', 'coef0': 0.0, 'gamma': 0.01}",0.6461538461538462,0.6615384615384615,0.6615384615384615,0.34375,0.34375,0.5313461538461539,0.1532745993654881,542
3,0.005505228042602539,0.0006450263078699617,0.0025155067443847655,9.580528358398066e-05,0.1,balanced,0.0,0.001,"{'C': 0.1, 'class_weight': 'balanced', 'coef0': 0.0, 'gamma': 0.001}",0.6461538461538462,0.6615384615384615,0.6615384615384615,0.34375,0.34375,0.5313461538461539,0.1532745993654881,542
4,0.006512975692749024,0.00042977395761804535,0.002534914016723633,0.00011783700731388416,0.1,balanced,0.0,0.0001,"{'C': 0.1, 'class_weight': 'balanced', 'coef0': 0.0, 'gamma': 0.0001}",0.6461538461538462,0.6615384615384615,0.6615384615384615,0.34375,0.34375,0.5313461538461539,0.1532745993654881,542
5,0.004817342758178711,0.0006529811352416546,0.0024800777435302736,0.00013398380869820116,0.1,balanced,1.5,1,"{'C': 0.1, 'class_weight': 'balanced', 'coef0': 1.5, 'gamma': 1}",0.6461538461538462,0.6615384615384615,0.6615384615384615,0.34375,0.34375,0.5313461538461539,0.1532745993654881,542
6,0.004674530029296875,0.0008102570380089807,0.0025622367858886717,0.0002950121169841988,0.1,balanced,1.5,0.1,"{'C': 0.1, 'class_weight': 'balanced', 'coef0': 1.5, 'gamma': 0.1}",0.6461538461538462,0.6615384615384615,0.6615384615384615,0.34375,0.34375,0.5313461538461539,0.1532745993654881,542
7,0.005017614364624024,0.0010544679129285885,0.0022206783294677736,9.591202215257921e-05,0.1,balanced,1.5,0.01,"{'C': 0.1, 'class_weight': 'balanced', 'coef0': 1.5, 'gamma': 0.01}",0.6461538461538462,0.6615384615384615,0.6615384615384615,0.34375,0.34375,0.5313461538461539,0.1532745993654881,542
8,0.00513606071472168,0.000992948613567563,0.0023277759552001952,4.0785775117842405e-05,0.1,balanced,1.5,0.001,"{'C': 0.1, 'class_weight': 'balanced', 'coef0': 1.5, 'gamma': 0.001}",0.6461538461538462,0.6615384615384615,0.6615384615384615,0.34375,0.34375,0.5313461538461539,0.1532745993654881,542
9,0.006486701965332031,0.0002732723925175951,0.002480030059814453,6.336500234790024e-05,0.1,balanced,1.5,0.0001,"{'C': 0.1, 'class_weight': 'balanced', 'coef0': 1.5, 'gamma': 0.0001}",0.6461538461538462,0.6615384615384615,0.6615384615384615,0.34375,0.34375,0.5313461538461539,0.1532745993654881,542
10,0.004749727249145508,0.0008685871151616907,0.002194929122924805,0.00022390713223102512,0.1,balanced,3.0,1,"{'C': 0.1, 'class_weight': 'balanced', 'coef0': 3.0, 'gamma': 1}",0.6461538461538462,0.6615384615384615,0.6615384615384615,0.34375,0.34375,0.5313461538461539,0.1532745993654881,542
11,0.004535579681396484,0.0001526727738316183,0.0023743629455566405,0.0001399735477566473,0.1,balanced,3.0,0.1,"{'C': 0.1, 'class_weight': 'balanced', 'coef0': 3.0, 'gamma': 0.1}",0.6461538461538462,0.6615384615384615,0.6615384615384615,0.34375,0.34375,0.5313461538461539,0.1532745993654881,542
12,0.004840755462646484,0.000849090748681063,0.0022611141204833983,0.00017878801793798555,0.1,balanced,3.0,0.01,"{'C': 0.1, 'class_weight': 'balanced', 'coef0': 3.0, 'gamma': 0.01}",0.6461538461538462,0.6615384615384615,0.6615384615384615,0.34375,0.34375,0.5313461538461539,0.1532745993654881,542
13,0.004941463470458984,0.0008693489705832576,0.0022940635681152344,0.0001598552035451637,0.1,balanced,3.0,0.001,"{'C': 0.1, 'class_weight': 'balanced', 'coef0': 3.0, 'gamma': 0.001}",0.6461538461538462,0.6615384615384615,0.6615384615384615,0.34375,0.34375,0.5313461538461539,0.1532745993654881,542
14,0.0065765857696533205,0.0002342593466033642,0.0025623798370361327,0.00014770130845256416,0.1,balanced,3.0,0.0001,"{'C': 0.1, 'class_weight': 'balanced', 'coef0': 3.0, 'gamma': 0.0001}",0.6461538461538462,0.6615384615384615,0.6615384615384615,0.34375,0.34375,0.5313461538461539,0.1532745993654881,542
15,0.004694032669067383,0.0008013138618499779,0.0022323131561279297,0.00010459344534038944,0.1,balanced,4.5,1,"{'C': 0.1, 'class_weight': 'balanced', 'coef0': 4.5, 'gamma': 1}",0.6461538461538462,0.6615384615384615,0.6615384615384615,0.34375,0.34375,0.5313461538461539,0.1532745993654881,542
16,0.004706525802612304,0.0009861646516161672,0.0023783206939697265,0.00015631196257477365,0.1,balanced,4.5,0.1,"{'C': 0.1, 'class_weight': 'balanced', 'coef0': 4.5, 'gamma': 0.1}",0.6461538461538462,0.6615384615384615,0.6615384615384615,0.34375,0.34375,0.5313461538461539,0.1532745993654881,542
17,0.004786348342895508,0.0008988467780177021,0.002222776412963867,0.00013874084961913952,0.1,balanced,4.5,0.01,"{'C': 0.1, 'class_weight': 'balanced', 'coef0': 4.5, 'gamma': 0.01}",0.6461538461538462,0.6615384615384615,0.6615384615384615,0.34375,0.34375,0.5313461538461539,0.1532745993654881,542
18,0.004660463333129883,0.0009559923444008759,0.002290630340576172,0.00012895290214553543,0.1,balanced,4.5,0.001,"{'C': 0.1, 'class_weight': 'balanced', 'coef0': 4.5, 'gamma': 0.001}",0.6461538461538462,0.6615384615384615,0.6615384615384615,0.34375,0.34375,0.5313461538461539,0.1532745993654881,542
19,0.006255054473876953,0.0002707537314229308,0.002537965774536133,4.768919913235952e-05,0.1,balanced,4.5,0.0001,"{'C': 0.1, 'class_weight': 'balanced', 'coef0': 4.5, 'gamma': 0.0001}",0.6461538461538462,0.6615384615384615,0.6615384615384615,0.34375,0.34375,0.5313461538461539,0.1532745993654881,542
20,0.003996992111206054,0.00023041236277496373,0.0022092819213867187,7.537536166052973e-05,0.1,balanced,6.0,1,"{'C': 0.1, 'class_weight': 'balanced', 'coef0': 6.0, 'gamma': 1}",0.6461538461538462,0.6615384615384615,0.6615384615384615,0.34375,0.34375,0.5313461538461539,0.1532745993654881,542
21,0.004191160202026367,0.00027894317586631416,0.0022081375122070313,9.090817571403052e-05,0.1,balanced,6.0,0.1,"{'C': 0.1, 'class_weight': 'balanced', 'coef0': 6.0, 'gamma': 0.1}",0.6461538461538462,0.6615384615384615,0.6615384615384615,0.34375,0.34375,0.5313461538461539,0.1532745993654881,542
