,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_class_weight,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,precision_score,recall_score
0,0.005090761184692383,0.0012975079515498745,0.002861213684082031,0.0005734297312612459,0.01,balanced,"{'C': 0.01, 'class_weight': 'balanced'}",0.8947368421052632,0.6842105263157895,0.8421052631578947,0.6842105263157895,0.7368421052631579,0.7684210526315789,0.0855161937330101,1,0.4117647058823529,0.5833333333333334
1,0.003787660598754883,0.0005259783522608734,0.00270843505859375,0.0004787206881323785,0.01,,"{'C': 0.01, 'class_weight': None}",0.0,0.0,0.05263157894736842,0.0,0.0,0.010526315789473684,0.021052631578947364,54,0.4117647058823529,0.5833333333333334
2,0.003915071487426758,0.00029565153556988387,0.002513885498046875,0.0002539638912499695,0.01,"{0: 0.9, 1: 1.4}","{'C': 0.01, 'class_weight': {0: 0.9, 1: 1.4}}",0.7368421052631579,0.5263157894736842,0.6842105263157895,0.5789473684210527,0.631578947368421,0.631578947368421,0.07443229275647868,18,0.4117647058823529,0.5833333333333334
3,0.00375518798828125,0.00015411466949974385,0.0024371623992919924,0.00010471689239397053,0.01,"{0: 0.8, 1: 1.5}","{'C': 0.01, 'class_weight': {0: 0.8, 1: 1.5}}",0.8421052631578947,0.6842105263157895,0.7894736842105263,0.631578947368421,0.631578947368421,0.7157894736842106,0.08551619373301012,2,0.4117647058823529,0.5833333333333334
4,0.003495311737060547,6.268560840759594e-05,0.0025224208831787108,0.00021106912281794942,0.01,"{0: 1, 1: 0.6}","{'C': 0.01, 'class_weight': {0: 1, 1: 0.6}}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,55,0.4117647058823529,0.5833333333333334
5,0.0051304340362548825,0.0011261981007374305,0.0031649589538574217,0.0006649285737549695,0.01,"{0: 1.0, 1: 1.5}","{'C': 0.01, 'class_weight': {0: 1.0, 1: 1.5}}",0.6842105263157895,0.47368421052631576,0.6842105263157895,0.5789473684210527,0.631578947368421,0.6105263157894736,0.07877173445839877,23,0.4117647058823529,0.5833333333333334
6,0.0036879539489746093,0.00017456125910737049,0.0024111270904541016,5.681590277057217e-05,0.01,"{0: 1, 1: 1.3}","{'C': 0.01, 'class_weight': {0: 1, 1: 1.3}}",0.42105263157894735,0.3157894736842105,0.47368421052631576,0.3157894736842105,0.5789473684210527,0.42105263157894735,0.09986139979479093,47,0.4117647058823529,0.5833333333333334
7,0.004315376281738281,0.000511550227711663,0.0027512550354003907,0.0003962476789821211,0.1,balanced,"{'C': 0.1, 'class_weight': 'balanced'}",0.7368421052631579,0.631578947368421,0.7894736842105263,0.5263157894736842,0.6842105263157895,0.6736842105263158,0.09055079228465923,3,0.4117647058823529,0.5833333333333334
8,0.003347158432006836,0.00013727552971728888,0.0023499011993408205,0.00014886313861696142,0.1,,"{'C': 0.1, 'class_weight': None}",0.6842105263157895,0.42105263157894735,0.3684210526315789,0.3157894736842105,0.5789473684210527,0.47368421052631576,0.13724636642531893,46,0.4117647058823529,0.5833333333333334
9,0.004155635833740234,0.0004653244915844376,0.002479219436645508,0.0001243916897482241,0.1,"{0: 0.9, 1: 1.4}","{'C': 0.1, 'class_weight': {0: 0.9, 1: 1.4}}",0.6842105263157895,0.631578947368421,0.6842105263157895,0.5263157894736842,0.6842105263157895,0.6421052631578947,0.0613784409983716,14,0.4117647058823529,0.5833333333333334
10,0.0045131206512451175,0.0010608205014237767,0.0032158374786376955,0.0013508496952737417,0.1,"{0: 0.8, 1: 1.5}","{'C': 0.1, 'class_weight': {0: 0.8, 1: 1.5}}",0.7368421052631579,0.631578947368421,0.7368421052631579,0.5263157894736842,0.6842105263157895,0.6631578947368421,0.07877173445839877,10,0.4117647058823529,0.5833333333333334
11,0.0038461208343505858,0.00046146459891608033,0.0027954578399658203,0.0005630222109858135,0.1,"{0: 1, 1: 0.6}","{'C': 0.1, 'class_weight': {0: 1, 1: 0.6}}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,55,0.4117647058823529,0.5833333333333334
12,0.0037605762481689453,0.00010517075652344667,0.0023282051086425783,6.322389616756137e-05,0.1,"{0: 1.0, 1: 1.5}","{'C': 0.1, 'class_weight': {0: 1.0, 1: 1.5}}",0.6842105263157895,0.5789473684210527,0.6842105263157895,0.5263157894736842,0.6842105263157895,0.631578947368421,0.06657426652986062,18,0.4117647058823529,0.5833333333333334
13,0.003848743438720703,0.00022419559718783784,0.0026839733123779296,0.0003624132616663474,0.1,"{0: 1, 1: 1.3}","{'C': 0.1, 'class_weight': {0: 1, 1: 1.3}}",0.6842105263157895,0.5789473684210527,0.5789473684210527,0.5263157894736842,0.631578947368421,0.6,0.05367388961676616,27,0.4117647058823529,0.5833333333333334
14,0.004385519027709961,0.00040371015798792965,0.002449655532836914,0.00020544132607567728,0.5,balanced,"{'C': 0.5, 'class_weight': 'balanced'}",0.7368421052631579,0.631578947368421,0.7368421052631579,0.5263157894736842,0.7368421052631579,0.6736842105263158,0.08421052631578947,3,0.4117647058823529,0.5833333333333334
15,0.004069328308105469,0.00020081825809277414,0.0024215221405029298,6.42794529579627e-05,0.5,,"{'C': 0.5, 'class_weight': None}",0.6842105263157895,0.42105263157894735,0.47368421052631576,0.3684210526315789,0.631578947368421,0.5157894736842105,0.12185091476621292,41,0.4117647058823529,0.5833333333333334
