,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.009426355361938477,0.004123447945642254,0.0028838634490966795,0.00041418283621423325,0.1,1,rbf,"{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}",0.6461538461538462,0.6615384615384615,0.6615384615384615,0.34375,0.34375,0.5313461538461539,0.1532745993654881,38
1,0.005144262313842773,7.249925989649198e-05,0.002319955825805664,3.831991095762702e-05,0.1,0.1,rbf,"{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}",0.6461538461538462,0.6615384615384615,0.6615384615384615,0.34375,0.34375,0.5313461538461539,0.1532745993654881,38
2,0.004832124710083008,0.00016186367799404786,0.0022560596466064454,2.5090698229029084e-05,0.1,0.01,rbf,"{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}",0.6461538461538462,0.6615384615384615,0.6615384615384615,0.34375,0.34375,0.5313461538461539,0.1532745993654881,38
3,0.004814815521240234,0.00018938837420780054,0.0021842002868652345,1.2909347840977967e-05,0.1,0.001,rbf,"{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}",0.6923076923076923,0.676923076923077,0.5230769230769231,0.5625,0.625,0.6159615384615384,0.06498065255982421,28
4,0.004937601089477539,0.00011074027397463733,0.002263498306274414,6.841830630857912e-05,0.1,0.0001,rbf,"{'C': 0.1, 'gamma': 0.0001, 'kernel': 'rbf'}",0.7384615384615385,0.7692307692307693,0.6153846153846154,0.5625,0.609375,0.6589903846153846,0.08017749125253483,3
5,0.006220579147338867,6.860956003332295e-05,0.002511262893676758,3.927210686860316e-05,0.5,1,rbf,"{'C': 0.5, 'gamma': 1, 'kernel': 'rbf'}",0.6461538461538462,0.6615384615384615,0.6615384615384615,0.65625,0.65625,0.6563461538461539,0.005618215829996726,4
6,0.00508413314819336,0.00011728164450739447,0.002256155014038086,3.7181987020565264e-05,0.5,0.1,rbf,"{'C': 0.5, 'gamma': 0.1, 'kernel': 'rbf'}",0.6461538461538462,0.6615384615384615,0.6615384615384615,0.65625,0.65625,0.6563461538461539,0.005618215829996726,4
7,0.004904747009277344,0.00024215338358160886,0.002263307571411133,0.00011980508690423834,0.5,0.01,rbf,"{'C': 0.5, 'gamma': 0.01, 'kernel': 'rbf'}",0.6615384615384615,0.5076923076923077,0.5076923076923077,0.578125,0.546875,0.5603846153846154,0.05706538377289624,37
8,0.004548311233520508,8.622990590109744e-05,0.002048683166503906,7.896348473751447e-05,0.5,0.001,rbf,"{'C': 0.5, 'gamma': 0.001, 'kernel': 'rbf'}",0.6923076923076923,0.6923076923076923,0.5846153846153846,0.546875,0.671875,0.6375961538461539,0.06033081109807391,21
9,0.004649925231933594,9.374749501924885e-05,0.0021285057067871095,2.9131823640905935e-05,0.5,0.0001,rbf,"{'C': 0.5, 'gamma': 0.0001, 'kernel': 'rbf'}",0.6923076923076923,0.676923076923077,0.5538461538461539,0.578125,0.65625,0.6314903846153846,0.05523115759452058,25
