,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_class_weight,param_coef0,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,precision_score,recall_score
0,0.005867910385131836,0.0004893535011138733,0.0028181552886962892,0.00017142169166701766,0.1,balanced,0.0,1,"{'C': 0.1, 'class_weight': 'balanced', 'coef0': 0.0, 'gamma': 1}",0.7058823529411765,0.5,0.5555555555555556,0.7222222222222222,0.7777777777777778,0.6522875816993464,0.10588638739993848,89,0.42857142857142855,1.0
1,0.005494022369384765,0.00030169451954560345,0.002851724624633789,0.0002438943522317631,0.1,balanced,0.0,0.1,"{'C': 0.1, 'class_weight': 'balanced', 'coef0': 0.0, 'gamma': 0.1}",0.7647058823529411,0.6111111111111112,0.7222222222222222,0.8333333333333334,0.7777777777777778,0.7418300653594772,0.0743778214166081,50,0.42857142857142855,1.0
2,0.005232954025268554,0.00022009739197213435,0.0028675556182861327,0.00020044288804009844,0.1,balanced,0.0,0.01,"{'C': 0.1, 'class_weight': 'balanced', 'coef0': 0.0, 'gamma': 0.01}",1.0,0.05555555555555555,0.2222222222222222,0.2222222222222222,0.16666666666666666,0.33333333333333337,0.3388433484883757,210,0.42857142857142855,1.0
3,0.0053403377532958984,0.00014192311259111126,0.0029390811920166015,0.00032568779372802115,0.1,balanced,0.0,0.001,"{'C': 0.1, 'class_weight': 'balanced', 'coef0': 0.0, 'gamma': 0.001}",1.0,0.0,0.0,0.0,0.0,0.2,0.4000000000000001,236,0.42857142857142855,1.0
4,0.005540990829467773,0.0004658183759463765,0.0029479503631591798,0.0002466797387969176,0.1,balanced,0.0,0.0001,"{'C': 0.1, 'class_weight': 'balanced', 'coef0': 0.0, 'gamma': 0.0001}",1.0,0.0,0.0,0.0,0.0,0.2,0.4000000000000001,236,0.42857142857142855,1.0
5,0.0060536861419677734,0.00046503295411280167,0.002769756317138672,0.00014120157129122367,0.1,balanced,1.5,1,"{'C': 0.1, 'class_weight': 'balanced', 'coef0': 1.5, 'gamma': 1}",0.6470588235294118,0.8333333333333334,0.6111111111111112,0.7777777777777778,0.6666666666666666,0.7071895424836601,0.08412351244843226,65,0.42857142857142855,1.0
6,0.006137371063232422,0.0002706138886688282,0.002959156036376953,0.00011439308517910657,0.1,balanced,1.5,0.1,"{'C': 0.1, 'class_weight': 'balanced', 'coef0': 1.5, 'gamma': 0.1}",0.8823529411764706,0.7777777777777778,0.7222222222222222,0.8333333333333334,0.7777777777777778,0.7986928104575164,0.05462895083390029,29,0.42857142857142855,1.0
7,0.006368684768676758,0.0003008133703504327,0.0031183242797851564,0.00011745868847708272,0.1,balanced,1.5,0.01,"{'C': 0.1, 'class_weight': 'balanced', 'coef0': 1.5, 'gamma': 0.01}",1.0,0.0,0.0,0.0,0.0,0.2,0.4000000000000001,236,0.42857142857142855,1.0
8,0.0062863826751708984,0.0003494740150556745,0.003097867965698242,0.000371220885124327,0.1,balanced,1.5,0.001,"{'C': 0.1, 'class_weight': 'balanced', 'coef0': 1.5, 'gamma': 0.001}",1.0,0.0,0.0,0.0,0.0,0.2,0.4000000000000001,236,0.42857142857142855,1.0
9,0.006495237350463867,0.0003141411377132402,0.0030707359313964845,0.0001501673397063636,0.1,balanced,1.5,0.0001,"{'C': 0.1, 'class_weight': 'balanced', 'coef0': 1.5, 'gamma': 0.0001}",1.0,0.0,0.0,0.0,0.0,0.2,0.4000000000000001,236,0.42857142857142855,1.0
