,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,precision_score,recall_score
0,0.00478968620300293,0.0011674552912715234,0.002674436569213867,0.0005166248966069492,0.01,{'C': 0.01},0.0,0.0,0.05263157894736842,0.0,0.0,0.010526315789473684,0.021052631578947364,8,0.5,0.375
1,0.0039994239807128905,0.0004344429408085193,0.0026309013366699217,0.0003777665578037874,0.1,{'C': 0.1},0.6842105263157895,0.42105263157894735,0.3684210526315789,0.3157894736842105,0.5789473684210527,0.47368421052631576,0.13724636642531893,7,0.5,0.375
2,0.005473899841308594,0.0016263757330069058,0.002853536605834961,0.0004886941542330815,0.5,{'C': 0.5},0.6842105263157895,0.42105263157894735,0.47368421052631576,0.3684210526315789,0.631578947368421,0.5157894736842105,0.12185091476621292,2,0.5,0.375
3,0.005153131484985351,0.0011807865353671545,0.0026062965393066407,0.00017174530626640734,1,{'C': 1},0.6842105263157895,0.47368421052631576,0.42105263157894735,0.3684210526315789,0.631578947368421,0.5157894736842106,0.1218509147662129,1,0.5,0.375
4,0.015004539489746093,0.004979517372928767,0.003182840347290039,0.0007504603173378962,10,{'C': 10},0.6842105263157895,0.47368421052631576,0.3684210526315789,0.3684210526315789,0.631578947368421,0.5052631578947369,0.13147364207154524,3,0.5,0.375
5,0.051874732971191405,0.016188994929062,0.002911233901977539,0.00048803973558018905,50,{'C': 50},0.6842105263157895,0.47368421052631576,0.3684210526315789,0.3684210526315789,0.631578947368421,0.5052631578947369,0.13147364207154524,3,0.5,0.375
6,0.08987932205200196,0.031474341148976605,0.002809286117553711,0.0003282364610795157,100,{'C': 100},0.6842105263157895,0.47368421052631576,0.3684210526315789,0.3684210526315789,0.631578947368421,0.5052631578947369,0.13147364207154524,3,0.5,0.375
7,0.809480619430542,0.28674723468168406,0.002886247634887695,0.00024294015104383277,1000,{'C': 1000},0.6842105263157895,0.47368421052631576,0.3684210526315789,0.3684210526315789,0.631578947368421,0.5052631578947369,0.13147364207154524,3,0.5,0.375
