,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.0038055419921875,0.00015774653904877974,0.0019089221954345704,0.00010202895716399884,0.1,1,rbf,"{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}",0.6923076923076923,0.6923076923076923,0.3269230769230769,0.39215686274509803,0.43137254901960786,0.5070135746606335,0.15492839409006962,35
1,0.003914546966552734,0.0004500817767335203,0.0018471240997314452,0.00013165590513017909,0.1,0.1,rbf,"{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}",0.75,0.6153846153846154,0.6538461538461539,0.5294117647058824,0.6666666666666666,0.6430618401206636,0.07182148384439072,30
2,0.0044915199279785155,0.0009695786551207694,0.002050447463989258,0.00015934542307797234,0.1,0.01,rbf,"{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}",0.7307692307692307,0.7115384615384616,0.5384615384615384,0.7058823529411765,0.6666666666666666,0.6706636500754148,0.06930679947272833,19
3,0.0038537025451660157,0.0002899973924105755,0.0019136428833007812,0.00014148881023630386,0.1,0.001,rbf,"{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}",0.6923076923076923,0.6923076923076923,0.3269230769230769,0.3137254901960784,0.6862745098039216,0.5423076923076924,0.18131012117726134,32
4,0.003780174255371094,0.00019415146170045317,0.0020882129669189454,0.0002879147973423903,0.1,0.0001,rbf,"{'C': 0.1, 'gamma': 0.0001, 'kernel': 'rbf'}",0.6923076923076923,0.6923076923076923,0.3269230769230769,0.6862745098039216,0.3137254901960784,0.5423076923076924,0.18131012117726134,32
5,0.004094171524047852,0.00047397861537629875,0.002177524566650391,0.00042010104338295953,0.5,1,rbf,"{'C': 0.5, 'gamma': 1, 'kernel': 'rbf'}",0.6153846153846154,0.4807692307692308,0.5961538461538461,0.39215686274509803,0.5098039215686274,0.5188536953242836,0.08109000441119621,34
6,0.0040132999420166016,0.00039113862432759783,0.00199432373046875,0.0005133800204324519,0.5,0.1,rbf,"{'C': 0.5, 'gamma': 0.1, 'kernel': 'rbf'}",0.75,0.6538461538461539,0.6730769230769231,0.6470588235294118,0.6862745098039216,0.682051282051282,0.036702600597228185,13
7,0.003638744354248047,0.00022290007851645126,0.0017938613891601562,0.00011935130243463222,0.5,0.01,rbf,"{'C': 0.5, 'gamma': 0.01, 'kernel': 'rbf'}",0.8076923076923077,0.6153846153846154,0.6538461538461539,0.6470588235294118,0.6862745098039216,0.6820512820512821,0.0667352213328112,12
8,0.003711891174316406,0.00018698981748772867,0.0018929004669189452,0.0001374505420017378,0.5,0.001,rbf,"{'C': 0.5, 'gamma': 0.001, 'kernel': 'rbf'}",0.6923076923076923,0.6923076923076923,0.6730769230769231,0.6862745098039216,0.6862745098039216,0.6860482654600302,0.007024513437221705,7
9,0.00379180908203125,0.0002150577345990254,0.0018155574798583984,9.913454840188207e-05,0.5,0.0001,rbf,"{'C': 0.5, 'gamma': 0.0001, 'kernel': 'rbf'}",0.6923076923076923,0.6923076923076923,0.6730769230769231,0.6862745098039216,0.6862745098039216,0.6860482654600302,0.007024513437221705,7
