,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_class_weight,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.018778085708618164,0.009853707098510519,0.0021428585052490233,0.00016729778521027742,0.1,balanced,"{'C': 0.1, 'class_weight': 'balanced'}",0.676923076923077,0.6923076923076923,0.6615384615384615,0.609375,0.703125,0.6686538461538462,0.032804741615888505,14
1,0.019120025634765624,0.0034812913954895496,0.0022228240966796877,0.00013242081249349353,0.1,,"{'C': 0.1, 'class_weight': None}",0.7692307692307693,0.7076923076923077,0.6615384615384615,0.609375,0.671875,0.6839423076923077,0.05300192408866487,7
2,0.06852712631225585,0.022654991766327615,0.0023705005645751954,0.00046585691115692623,0.5,balanced,"{'C': 0.5, 'class_weight': 'balanced'}",0.676923076923077,0.6923076923076923,0.676923076923077,0.625,0.6875,0.6717307692307692,0.02412369504702572,12
3,0.05929961204528809,0.007183651335666187,0.002172994613647461,9.906599232834955e-05,0.5,,"{'C': 0.5, 'class_weight': None}",0.7692307692307693,0.7076923076923077,0.6615384615384615,0.640625,0.6875,0.6933173076923077,0.044248637695072875,4
4,0.1359278678894043,0.07822035329459778,0.0021253585815429687,0.00014936124600622893,1,balanced,"{'C': 1, 'class_weight': 'balanced'}",0.676923076923077,0.7076923076923077,0.676923076923077,0.625,0.6875,0.6748076923076922,0.027321231746427768,11
5,0.16525063514709473,0.06513113474311376,0.0020461082458496094,0.00016277470408007763,1,,"{'C': 1, 'class_weight': None}",0.7692307692307693,0.7076923076923077,0.6615384615384615,0.640625,0.6875,0.6933173076923077,0.044248637695072875,4
6,1.046867799758911,0.558648588908427,0.002135753631591797,0.00016884769433198586,10,balanced,"{'C': 10, 'class_weight': 'balanced'}",0.676923076923077,0.7230769230769231,0.6461538461538462,0.625,0.71875,0.6779807692307692,0.038773256048665605,9
7,1.3536039352416993,0.6611460843183824,0.0018894195556640625,2.8699259517844383e-05,10,,"{'C': 10, 'class_weight': None}",0.7384615384615385,0.7076923076923077,0.6461538461538462,0.625,0.6875,0.6809615384615385,0.04100440155331575,8
8,4.4413076877594,2.026543652019688,0.001958942413330078,8.218639436556771e-05,50,balanced,"{'C': 50, 'class_weight': 'balanced'}",0.7076923076923077,0.7076923076923077,0.6307692307692307,0.640625,0.703125,0.6779807692307692,0.03470494557035671,9
9,3.4826959133148194,1.0224296118142737,0.001947784423828125,0.00012539136433100247,50,,"{'C': 50, 'class_weight': None}",0.7692307692307693,0.7076923076923077,0.6615384615384615,0.625,0.734375,0.6995673076923077,0.05125829778402691,2
10,7.148314142227173,2.846643464942383,0.0019318580627441407,0.00013680069978726561,100,balanced,"{'C': 100, 'class_weight': 'balanced'}",0.7692307692307693,0.7076923076923077,0.6153846153846154,0.640625,0.703125,0.6872115384615385,0.054275716166482926,6
11,7.540615844726562,1.6977847548369893,0.001853609085083008,3.868339792789053e-05,100,,"{'C': 100, 'class_weight': None}",0.7846153846153846,0.7230769230769231,0.6461538461538462,0.65625,0.765625,0.7151442307692307,0.0559744235760812,1
12,16.193936777114867,4.918877037792162,0.0018607616424560548,0.00011223987061003797,1000,balanced,"{'C': 1000, 'class_weight': 'balanced'}",0.676923076923077,0.6923076923076923,0.6,0.671875,0.703125,0.6688461538461539,0.03616541600878881,13
13,11.02421064376831,4.205606348199029,0.001871633529663086,0.00011764311989514469,1000,,"{'C': 1000, 'class_weight': None}",0.7230769230769231,0.7076923076923077,0.6307692307692307,0.65625,0.75,0.6935576923076923,0.04379762834356114,3
