,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.008458852767944336,0.0008034353220176812,0.0034636497497558595,0.0003547808364960187,0.1,1,"{'C': 0.1, 'gamma': 1}",0.6621621621621622,0.6621621621621622,0.6621621621621622,0.6486486486486487,0.6575342465753424,0.6585338763420955,0.005257572827801004,10
1,0.0063705921173095705,0.0008796097766592391,0.0030233383178710936,0.00018108511211582912,0.1,0.1,"{'C': 0.1, 'gamma': 0.1}",0.6621621621621622,0.6621621621621622,0.6621621621621622,0.6486486486486487,0.6575342465753424,0.6585338763420955,0.005257572827801004,10
2,0.005851316452026367,0.0010915840898638983,0.0028392791748046873,0.000556731313399376,0.1,0.01,"{'C': 0.1, 'gamma': 0.01}",0.6621621621621622,0.6621621621621622,0.6621621621621622,0.6486486486486487,0.6575342465753424,0.6585338763420955,0.005257572827801004,10
3,0.005066871643066406,0.0004960960949253692,0.0028580188751220702,0.0009076041684953733,0.1,0.001,"{'C': 0.1, 'gamma': 0.001}",0.6621621621621622,0.6621621621621622,0.6621621621621622,0.6486486486486487,0.6575342465753424,0.6585338763420955,0.005257572827801004,10
4,0.004602861404418945,0.00011090574220402985,0.0029205322265625,0.0010436338770201134,0.1,0.0001,"{'C': 0.1, 'gamma': 0.0001}",0.6621621621621622,0.6621621621621622,0.6621621621621622,0.6486486486486487,0.6575342465753424,0.6585338763420955,0.005257572827801004,10
5,0.008554792404174805,0.0010187178286560645,0.0037446022033691406,0.0007894033465416511,0.5,1,"{'C': 0.5, 'gamma': 1}",0.6621621621621622,0.6621621621621622,0.6621621621621622,0.6486486486486487,0.6575342465753424,0.6585338763420955,0.005257572827801004,10
6,0.006780767440795898,0.0010878522901611053,0.0031823158264160157,0.0006240271096576703,0.5,0.1,"{'C': 0.5, 'gamma': 0.1}",0.6621621621621622,0.6621621621621622,0.6621621621621622,0.6486486486486487,0.6575342465753424,0.6585338763420955,0.005257572827801004,10
7,0.006160593032836914,0.0006796168933730988,0.0030312538146972656,0.0005818280757270448,0.5,0.01,"{'C': 0.5, 'gamma': 0.01}",0.6621621621621622,0.6621621621621622,0.6621621621621622,0.6486486486486487,0.6575342465753424,0.6585338763420955,0.005257572827801004,10
8,0.005267286300659179,0.0008739340075392714,0.0024262428283691405,0.00020919007539180778,0.5,0.001,"{'C': 0.5, 'gamma': 0.001}",0.6621621621621622,0.7297297297297297,0.6486486486486487,0.6621621621621622,0.684931506849315,0.6775268419104036,0.02858694587790028,5
9,0.005736541748046875,0.0012111803433221833,0.0025994300842285155,0.00010994466939238335,0.5,0.0001,"{'C': 0.5, 'gamma': 0.0001}",0.6621621621621622,0.6621621621621622,0.6621621621621622,0.6891891891891891,0.6712328767123288,0.6693817104776009,0.010508364886845914,9
10,0.00820465087890625,0.0003791266964818312,0.0038431644439697265,0.0006200758136910546,1,1,"{'C': 1, 'gamma': 1}",0.6621621621621622,0.6621621621621622,0.6621621621621622,0.6486486486486487,0.6575342465753424,0.6585338763420955,0.005257572827801004,10
11,0.007378768920898437,0.0016372490877996203,0.003050422668457031,0.0003707994586520478,1,0.1,"{'C': 1, 'gamma': 0.1}",0.6621621621621622,0.6621621621621622,0.6621621621621622,0.6486486486486487,0.6575342465753424,0.6585338763420955,0.005257572827801004,10
12,0.005829858779907227,0.0006516815949129829,0.0029520511627197264,0.00041425795585532833,1,0.01,"{'C': 1, 'gamma': 0.01}",0.5945945945945946,0.6486486486486487,0.6621621621621622,0.6216216216216216,0.6575342465753424,0.636912254720474,0.025397461036121453,30
13,0.0049077033996582035,0.0003025551721493557,0.0024584293365478515,0.0004097402518488811,1,0.001,"{'C': 1, 'gamma': 0.001}",0.6756756756756757,0.7432432432432432,0.6081081081081081,0.6486486486486487,0.684931506849315,0.6721214365049982,0.04446058905191941,8
14,0.004455089569091797,0.00011649025398546313,0.0022494316101074217,0.00011446777664353472,1,0.0001,"{'C': 1, 'gamma': 0.0001}",0.6486486486486487,0.6891891891891891,0.6756756756756757,0.6891891891891891,0.7123287671232876,0.683006293965198,0.0208348245733583,4
15,0.008344507217407227,0.000122692118888062,0.0030954360961914064,0.00016076608455813064,10,1,"{'C': 10, 'gamma': 1}",0.6621621621621622,0.6621621621621622,0.6621621621621622,0.6486486486486487,0.6575342465753424,0.6585338763420955,0.005257572827801004,10
16,0.006736898422241211,0.0006062758906943096,0.003050374984741211,0.00040973688901078725,10,0.1,"{'C': 10, 'gamma': 0.1}",0.6621621621621622,0.6621621621621622,0.6621621621621622,0.6486486486486487,0.6575342465753424,0.6585338763420955,0.005257572827801004,10
17,0.0066302776336669925,0.0008079369805025874,0.0027062416076660155,0.00026659288757691687,10,0.01,"{'C': 10, 'gamma': 0.01}",0.581081081081081,0.5945945945945946,0.581081081081081,0.6216216216216216,0.5753424657534246,0.5907441688263606,0.01668655660592132,32
18,0.00565032958984375,0.00016800871256455365,0.002388477325439453,0.0002711674858011965,10,0.001,"{'C': 10, 'gamma': 0.001}",0.7297297297297297,0.7162162162162162,0.6216216216216216,0.6486486486486487,0.6712328767123288,0.677489818585709,0.04054863752762761,6
19,0.0046768665313720705,0.00014143623523071202,0.0024263858795166016,0.00027959793129057366,10,0.0001,"{'C': 10, 'gamma': 0.0001}",0.6891891891891891,0.7432432432432432,0.6351351351351351,0.6756756756756757,0.7123287671232876,0.6911144020733062,0.03617514177044639,2
20,0.008687877655029297,0.00021107074945533893,0.003365755081176758,0.00022760302205328408,50,1,"{'C': 50, 'gamma': 1}",0.6621621621621622,0.6621621621621622,0.6621621621621622,0.6486486486486487,0.6575342465753424,0.6585338763420955,0.005257572827801004,10
21,0.006807518005371094,0.0005161526764923429,0.0030397891998291014,0.00045916220493219436,50,0.1,"{'C': 50, 'gamma': 0.1}",0.6621621621621622,0.6621621621621622,0.6621621621621622,0.6486486486486487,0.6575342465753424,0.6585338763420955,0.005257572827801004,10
