,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_coef0,param_degree,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
2677,0.015978574752807617,0.004343871424979319,0.0015012741088867188,6.988314949223796e-05,100,4.5,5.0,0.01,poly,"{'C': 100, 'coef0': 4.5, 'degree': 5.0, 'gamma': 0.01, 'kernel': 'poly'}",0.9846153846153847,1.0,1.0,0.984375,0.984375,0.9906730769230769,0.007615906644889267,1558
2678,0.01630678176879883,0.004695966257203755,0.0014358997344970704,5.729483697738082e-05,100,4.5,5.0,0.001,poly,"{'C': 100, 'coef0': 4.5, 'degree': 5.0, 'gamma': 0.001, 'kernel': 'poly'}",0.9846153846153847,1.0,0.9692307692307692,1.0,0.984375,0.9876442307692308,0.011526034975156056,1588
2679,0.021936416625976562,0.004225747358199252,0.001444864273071289,8.006128546243181e-05,100,4.5,5.0,0.0001,poly,"{'C': 100, 'coef0': 4.5, 'degree': 5.0, 'gamma': 0.0001, 'kernel': 'poly'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
2680,0.024930238723754883,0.002955117332254449,0.001468801498413086,5.914753154211242e-05,100,4.5,6.0,1,poly,"{'C': 100, 'coef0': 4.5, 'degree': 6.0, 'gamma': 1, 'kernel': 'poly'}",1.0,0.9846153846153847,0.9538461538461539,0.984375,0.984375,0.9814423076923078,0.01505460352444082,1909
2681,0.019907093048095702,0.0038735982068015713,0.0014679431915283203,2.4232993863062718e-05,100,4.5,6.0,0.1,poly,"{'C': 100, 'coef0': 4.5, 'degree': 6.0, 'gamma': 0.1, 'kernel': 'poly'}",1.0,1.0,0.9538461538461539,0.984375,0.984375,0.9845192307692308,0.016853413214605754,1716
2682,0.017284870147705078,0.006605964946688334,0.0015195369720458984,0.00022239812855492382,100,4.5,6.0,0.01,poly,"{'C': 100, 'coef0': 4.5, 'degree': 6.0, 'gamma': 0.01, 'kernel': 'poly'}",0.9846153846153847,0.9846153846153847,0.9692307692307692,0.984375,0.984375,0.9814423076923078,0.006106715553558325,1909
2683,0.015886783599853516,0.0034228885761412543,0.0015046119689941407,0.00011183253647200194,100,4.5,6.0,0.001,poly,"{'C': 100, 'coef0': 4.5, 'degree': 6.0, 'gamma': 0.001, 'kernel': 'poly'}",0.9846153846153847,0.9692307692307692,0.9692307692307692,1.0,0.984375,0.9814903846153846,0.011500337659051122,1888
2684,0.019576311111450195,0.00337412969536574,0.0014509201049804688,0.00012727288450179366,100,4.5,6.0,0.0001,poly,"{'C': 100, 'coef0': 4.5, 'degree': 6.0, 'gamma': 0.0001, 'kernel': 'poly'}",1.0,1.0,0.9846153846153847,1.0,1.0,0.9969230769230769,0.006153846153846132,1126
2685,0.025385093688964844,0.0031666599772178236,0.0014813899993896484,0.00010805477210827316,100,4.5,7.0,1,poly,"{'C': 100, 'coef0': 4.5, 'degree': 7.0, 'gamma': 1, 'kernel': 'poly'}",1.0,0.9538461538461539,0.9538461538461539,0.984375,0.984375,0.9752884615384616,0.01841377535382313,2101
2686,0.020546150207519532,0.0030549757368142205,0.00148773193359375,0.0001486771836184366,100,4.5,7.0,0.1,poly,"{'C': 100, 'coef0': 4.5, 'degree': 7.0, 'gamma': 0.1, 'kernel': 'poly'}",1.0,0.9538461538461539,0.9538461538461539,0.984375,0.984375,0.9752884615384616,0.01841377535382313,2101
2687,0.018847179412841798,0.008150813013622393,0.0014984130859375,0.00017877199316887493,100,4.5,7.0,0.01,poly,"{'C': 100, 'coef0': 4.5, 'degree': 7.0, 'gamma': 0.01, 'kernel': 'poly'}",0.9846153846153847,0.9692307692307692,0.9384615384615385,0.984375,0.984375,0.9722115384615385,0.01787569566652248,2288
2688,0.016129684448242188,0.0041422536965646,0.0015189647674560547,9.0881709846815e-05,100,4.5,7.0,0.001,poly,"{'C': 100, 'coef0': 4.5, 'degree': 7.0, 'gamma': 0.001, 'kernel': 'poly'}",0.9846153846153847,0.9692307692307692,0.9230769230769231,0.984375,0.984375,0.9691346153846154,0.02377188729864847,2331
2689,0.018373489379882812,0.002489744567114024,0.0014839649200439453,0.00016742345434920736,100,4.5,7.0,0.0001,poly,"{'C': 100, 'coef0': 4.5, 'degree': 7.0, 'gamma': 0.0001, 'kernel': 'poly'}",1.0,1.0,0.9846153846153847,1.0,1.0,0.9969230769230769,0.006153846153846132,1126
2690,0.027396965026855468,0.004860325268359143,0.0015983104705810547,9.143088596817458e-05,100,4.5,8.0,1,poly,"{'C': 100, 'coef0': 4.5, 'degree': 8.0, 'gamma': 1, 'kernel': 'poly'}",0.9846153846153847,0.9384615384615385,0.9076923076923077,0.984375,0.984375,0.9599038461538463,0.031604278767131094,2548
2691,0.024423694610595702,0.006415459960182465,0.0015219688415527345,0.00012959128644611983,100,4.5,8.0,0.1,poly,"{'C': 100, 'coef0': 4.5, 'degree': 8.0, 'gamma': 0.1, 'kernel': 'poly'}",0.9846153846153847,0.9384615384615385,0.9076923076923077,0.984375,0.984375,0.9599038461538463,0.031604278767131094,2548
2692,0.020783472061157226,0.01028622482109719,0.0014825820922851562,5.146718844661219e-05,100,4.5,8.0,0.01,poly,"{'C': 100, 'coef0': 4.5, 'degree': 8.0, 'gamma': 0.01, 'kernel': 'poly'}",0.9846153846153847,0.9692307692307692,0.9230769230769231,0.96875,0.984375,0.9660096153846155,0.022559093995404397,2454
2693,0.016657209396362303,0.005721360526364727,0.001468992233276367,4.086764292225872e-05,100,4.5,8.0,0.001,poly,"{'C': 100, 'coef0': 4.5, 'degree': 8.0, 'gamma': 0.001, 'kernel': 'poly'}",1.0,0.9538461538461539,0.9230769230769231,0.96875,0.984375,0.9660096153846155,0.026424644450200756,2454
2694,0.016716670989990235,0.0026840056331982618,0.001456308364868164,7.709933400595667e-05,100,4.5,8.0,0.0001,poly,"{'C': 100, 'coef0': 4.5, 'degree': 8.0, 'gamma': 0.0001, 'kernel': 'poly'}",1.0,1.0,0.9846153846153847,1.0,0.984375,0.993798076923077,0.007596153846153832,1412
