,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_coef0,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
17,0.00499415397644043,0.00013690600187495346,0.0019640445709228514,0.00014566960773723222,0.1,4.5,0.01,sigmoid,"{'C': 0.1, 'coef0': 4.5, 'gamma': 0.01, 'kernel': 'sigmoid'}",0.6923076923076923,0.6923076923076923,0.3269230769230769,0.6862745098039216,0.5882352941176471,0.597209653092006,0.14082272203204527,195
18,0.005188894271850586,0.00048567964052449486,0.002054786682128906,5.1969037865856064e-05,0.1,4.5,0.001,sigmoid,"{'C': 0.1, 'coef0': 4.5, 'gamma': 0.001, 'kernel': 'sigmoid'}",0.6923076923076923,0.6923076923076923,0.3269230769230769,0.5098039215686274,0.6862745098039216,0.5815233785822022,0.14524745914936008,211
19,0.00524744987487793,0.0003802310263314953,0.0020218849182128905,0.00014564917430420264,0.1,4.5,0.0001,sigmoid,"{'C': 0.1, 'coef0': 4.5, 'gamma': 0.0001, 'kernel': 'sigmoid'}",0.6923076923076923,0.6923076923076923,0.3269230769230769,0.3137254901960784,0.6862745098039216,0.5423076923076924,0.18131012117726134,241
20,0.004741573333740234,0.00029733791139350223,0.001927661895751953,6.195368137059435e-05,0.1,6.0,1,sigmoid,"{'C': 0.1, 'coef0': 6.0, 'gamma': 1, 'kernel': 'sigmoid'}",0.5769230769230769,0.7307692307692307,0.7307692307692307,0.6666666666666666,0.5686274509803921,0.6547511312217195,0.07095629251418553,136
21,0.004767704010009766,0.00015295821194442137,0.0019078731536865234,0.0001022625507552747,0.1,6.0,0.1,sigmoid,"{'C': 0.1, 'coef0': 6.0, 'gamma': 0.1, 'kernel': 'sigmoid'}",0.6923076923076923,0.6923076923076923,0.3269230769230769,0.6862745098039216,0.3137254901960784,0.5423076923076924,0.18131012117726134,241
22,0.0049420356750488285,0.00029443926550236355,0.0019670963287353516,9.683101070442584e-05,0.1,6.0,0.01,sigmoid,"{'C': 0.1, 'coef0': 6.0, 'gamma': 0.01, 'kernel': 'sigmoid'}",0.6923076923076923,0.6923076923076923,0.3269230769230769,0.5098039215686274,0.6862745098039216,0.5815233785822022,0.14524745914936008,211
23,0.005242586135864258,0.0004185744096216148,0.002036714553833008,8.752093718052495e-05,0.1,6.0,0.001,sigmoid,"{'C': 0.1, 'coef0': 6.0, 'gamma': 0.001, 'kernel': 'sigmoid'}",0.6923076923076923,0.6923076923076923,0.3269230769230769,0.3137254901960784,0.6862745098039216,0.5423076923076924,0.18131012117726134,241
24,0.005266141891479492,0.00038654837096281555,0.002163410186767578,0.0001363858472404584,0.1,6.0,0.0001,sigmoid,"{'C': 0.1, 'coef0': 6.0, 'gamma': 0.0001, 'kernel': 'sigmoid'}",0.6923076923076923,0.6923076923076923,0.3269230769230769,0.3137254901960784,0.3137254901960784,0.46779788838612363,0.18337482072880948,260
25,0.004876518249511718,0.00020372443337038232,0.001886272430419922,0.00010168608020214443,0.1,7.5,1,sigmoid,"{'C': 0.1, 'coef0': 7.5, 'gamma': 1, 'kernel': 'sigmoid'}",0.6923076923076923,0.6153846153846154,0.7307692307692307,0.6862745098039216,0.45098039215686275,0.6351432880844646,0.09933062895438798,145
26,0.004908323287963867,0.00029585753334586623,0.001928853988647461,7.32986349402073e-05,0.1,7.5,0.1,sigmoid,"{'C': 0.1, 'coef0': 7.5, 'gamma': 0.1, 'kernel': 'sigmoid'}",0.6923076923076923,0.6923076923076923,0.3269230769230769,0.3137254901960784,0.3137254901960784,0.46779788838612363,0.18337482072880948,260
27,0.004878425598144531,0.00011736294470457248,0.001953268051147461,0.00011826307519332474,0.1,7.5,0.01,sigmoid,"{'C': 0.1, 'coef0': 7.5, 'gamma': 0.01, 'kernel': 'sigmoid'}",0.6923076923076923,0.6923076923076923,0.3269230769230769,0.5098039215686274,0.3137254901960784,0.5070135746606335,0.16641422840394926,257
28,0.00496983528137207,0.0003397832315204441,0.0019412040710449219,0.00012044438453449793,0.1,7.5,0.001,sigmoid,"{'C': 0.1, 'coef0': 7.5, 'gamma': 0.001, 'kernel': 'sigmoid'}",0.6923076923076923,0.6923076923076923,0.3269230769230769,0.3137254901960784,0.3137254901960784,0.46779788838612363,0.18337482072880948,260
29,0.004985618591308594,0.00017476881328994562,0.0023559093475341796,0.00040288734801289226,0.1,7.5,0.0001,sigmoid,"{'C': 0.1, 'coef0': 7.5, 'gamma': 0.0001, 'kernel': 'sigmoid'}",0.6923076923076923,0.6923076923076923,0.3269230769230769,0.3137254901960784,0.3137254901960784,0.46779788838612363,0.18337482072880948,260
30,0.005292272567749024,0.0007683541793422127,0.0020794391632080076,0.00016722335817344146,0.1,9.0,1,sigmoid,"{'C': 0.1, 'coef0': 9.0, 'gamma': 1, 'kernel': 'sigmoid'}",0.4230769230769231,0.38461538461538464,0.7115384615384616,0.47058823529411764,0.43137254901960786,0.484238310708899,0.11688619646944003,259
31,0.004940032958984375,0.00019078832115620808,0.0019141674041748048,0.00010821751808431691,0.1,9.0,0.1,sigmoid,"{'C': 0.1, 'coef0': 9.0, 'gamma': 0.1, 'kernel': 'sigmoid'}",0.6923076923076923,0.6923076923076923,0.3269230769230769,0.6862745098039216,0.6862745098039216,0.6168174962292609,0.14497231958012594,157
32,0.004940843582153321,0.0002724984224642881,0.002127933502197266,0.0005205176653243146,0.1,9.0,0.01,sigmoid,"{'C': 0.1, 'coef0': 9.0, 'gamma': 0.01, 'kernel': 'sigmoid'}",0.6923076923076923,0.6923076923076923,0.3269230769230769,0.6862745098039216,0.3137254901960784,0.5423076923076924,0.18131012117726134,241
33,0.0047304630279541016,0.0001305090322628576,0.001944255828857422,0.00012527387920211776,0.1,9.0,0.001,sigmoid,"{'C': 0.1, 'coef0': 9.0, 'gamma': 0.001, 'kernel': 'sigmoid'}",0.6923076923076923,0.6923076923076923,0.3269230769230769,0.3137254901960784,0.3137254901960784,0.46779788838612363,0.18337482072880948,260
34,0.005291604995727539,0.0007067506022600805,0.0021090984344482424,0.0004286368598801247,0.1,9.0,0.0001,sigmoid,"{'C': 0.1, 'coef0': 9.0, 'gamma': 0.0001, 'kernel': 'sigmoid'}",0.6923076923076923,0.6923076923076923,0.3269230769230769,0.3137254901960784,0.3137254901960784,0.46779788838612363,0.18337482072880948,260
