,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_class_weight,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.006617689132690429,0.0004201721611444899,0.0026685714721679686,0.0003185098537689748,0.1,balanced,1,"{'C': 0.1, 'class_weight': 'balanced', 'gamma': 1}",0.6461538461538462,0.6615384615384615,0.6615384615384615,0.34375,0.34375,0.5313461538461539,0.1532745993654881,68
1,0.004899501800537109,0.0006597726973842596,0.0023922443389892576,0.0001705640182824628,0.1,balanced,0.1,"{'C': 0.1, 'class_weight': 'balanced', 'gamma': 0.1}",0.6461538461538462,0.6615384615384615,0.6615384615384615,0.34375,0.34375,0.5313461538461539,0.1532745993654881,68
2,0.004966926574707031,0.0009118986413884761,0.0023351192474365236,0.00022849753024613308,0.1,balanced,0.01,"{'C': 0.1, 'class_weight': 'balanced', 'gamma': 0.01}",0.6461538461538462,0.6615384615384615,0.6615384615384615,0.34375,0.34375,0.5313461538461539,0.1532745993654881,68
3,0.004454803466796875,0.0006670431767137498,0.0024323463439941406,0.0001172711169054151,0.1,balanced,0.001,"{'C': 0.1, 'class_weight': 'balanced', 'gamma': 0.001}",0.6923076923076923,0.676923076923077,0.5230769230769231,0.5625,0.625,0.6159615384615384,0.06498065255982421,56
4,0.005759096145629883,0.001497813930363731,0.0032420635223388674,0.0016101799666965002,0.1,balanced,0.0001,"{'C': 0.1, 'class_weight': 'balanced', 'gamma': 0.0001}",0.7384615384615385,0.7692307692307693,0.6153846153846154,0.5625,0.609375,0.6589903846153846,0.08017749125253483,12
5,0.006316232681274414,0.0003383170693065599,0.002486896514892578,0.00023091788486596292,0.1,,1,"{'C': 0.1, 'class_weight': None, 'gamma': 1}",0.6461538461538462,0.6615384615384615,0.6615384615384615,0.65625,0.65625,0.6563461538461539,0.005618215829996726,13
6,0.0051539897918701175,0.0006486292595096221,0.002211189270019531,0.00014343992491124466,0.1,,0.1,"{'C': 0.1, 'class_weight': None, 'gamma': 0.1}",0.6461538461538462,0.6615384615384615,0.6615384615384615,0.65625,0.65625,0.6563461538461539,0.005618215829996726,13
7,0.005446767807006836,0.0009648940943334366,0.0021843910217285156,0.00015536639591885672,0.1,,0.01,"{'C': 0.1, 'class_weight': None, 'gamma': 0.01}",0.6461538461538462,0.6615384615384615,0.6615384615384615,0.65625,0.65625,0.6563461538461539,0.005618215829996726,13
8,0.003778553009033203,0.00019933313786305224,0.0018531322479248048,8.245417621006873e-05,0.1,,0.001,"{'C': 0.1, 'class_weight': None, 'gamma': 0.001}",0.6461538461538462,0.6615384615384615,0.6615384615384615,0.65625,0.65625,0.6563461538461539,0.005618215829996726,13
9,0.004565095901489258,0.0007425511581777819,0.002555179595947266,0.0004009497203231774,0.1,,0.0001,"{'C': 0.1, 'class_weight': None, 'gamma': 0.0001}",0.6461538461538462,0.6615384615384615,0.6615384615384615,0.65625,0.65625,0.6563461538461539,0.005618215829996726,13
10,0.006699466705322265,0.0007258602577721509,0.0030128002166748048,7.633664009428856e-05,0.5,balanced,1,"{'C': 0.5, 'class_weight': 'balanced', 'gamma': 1}",0.6461538461538462,0.6615384615384615,0.6615384615384615,0.65625,0.65625,0.6563461538461539,0.005618215829996726,13
11,0.0049344062805175785,0.0001699791444279137,0.002767658233642578,6.21724344037658e-05,0.5,balanced,0.1,"{'C': 0.5, 'class_weight': 'balanced', 'gamma': 0.1}",0.6461538461538462,0.6615384615384615,0.6615384615384615,0.65625,0.65625,0.6563461538461539,0.005618215829996726,13
12,0.004617738723754883,9.093715925544312e-05,0.0026597023010253907,0.00012498797887060305,0.5,balanced,0.01,"{'C': 0.5, 'class_weight': 'balanced', 'gamma': 0.01}",0.6615384615384615,0.5076923076923077,0.5076923076923077,0.578125,0.546875,0.5603846153846154,0.05706538377289624,67
13,0.004901695251464844,0.00046990685602083307,0.00236968994140625,0.00016643586902906745,0.5,balanced,0.001,"{'C': 0.5, 'class_weight': 'balanced', 'gamma': 0.001}",0.6923076923076923,0.6923076923076923,0.5846153846153846,0.546875,0.671875,0.6375961538461539,0.06033081109807391,47
14,0.004377889633178711,0.0003483652120105852,0.002436971664428711,0.0001422256333411362,0.5,balanced,0.0001,"{'C': 0.5, 'class_weight': 'balanced', 'gamma': 0.0001}",0.6923076923076923,0.676923076923077,0.5538461538461539,0.578125,0.65625,0.6314903846153846,0.05523115759452058,51
15,0.006906557083129883,0.00048533608001403755,0.0028905868530273438,0.00035382361409490396,0.5,,1,"{'C': 0.5, 'class_weight': None, 'gamma': 1}",0.6461538461538462,0.6615384615384615,0.6615384615384615,0.65625,0.65625,0.6563461538461539,0.005618215829996726,13
16,0.00509490966796875,0.0004556134157343917,0.002745246887207031,0.00020534617825741013,0.5,,0.1,"{'C': 0.5, 'class_weight': None, 'gamma': 0.1}",0.6461538461538462,0.6615384615384615,0.6615384615384615,0.65625,0.65625,0.6563461538461539,0.005618215829996726,13
17,0.0052910327911376955,0.0009639399126779437,0.0025130271911621093,0.00015257377857277464,0.5,,0.01,"{'C': 0.5, 'class_weight': None, 'gamma': 0.01}",0.6461538461538462,0.6615384615384615,0.6615384615384615,0.65625,0.65625,0.6563461538461539,0.005618215829996726,13
