,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_coef0,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,precision_score,recall_score
19,0.004901695251464844,0.0003668748467691157,0.0029581069946289064,0.00029803258499702326,0.1,4.5,0.0001,"{'C': 0.1, 'coef0': 4.5, 'gamma': 0.0001}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,107,0.5,0.3333333333333333
20,0.004635858535766602,0.0003080054095895633,0.002800655364990234,0.00023481959024986056,0.1,6.0,1,"{'C': 0.1, 'coef0': 6.0, 'gamma': 1}",0.3684210526315789,0.2631578947368421,0.0,0.15789473684210525,0.2631578947368421,0.21052631578947367,0.12454904806525507,70,0.5,0.3333333333333333
21,0.0048008918762207035,0.00034685383990622795,0.002965831756591797,0.0002892416378525099,0.1,6.0,0.1,"{'C': 0.1, 'coef0': 6.0, 'gamma': 0.1}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,107,0.5,0.3333333333333333
22,0.004690742492675782,0.00017718678516948807,0.002751588821411133,9.440002919584515e-05,0.1,6.0,0.01,"{'C': 0.1, 'coef0': 6.0, 'gamma': 0.01}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,107,0.5,0.3333333333333333
23,0.004714870452880859,9.417679942483105e-05,0.00262451171875,6.276796445036754e-05,0.1,6.0,0.001,"{'C': 0.1, 'coef0': 6.0, 'gamma': 0.001}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,107,0.5,0.3333333333333333
24,0.004790067672729492,0.00023422496519343692,0.0026756763458251954,0.00017588515902682765,0.1,6.0,0.0001,"{'C': 0.1, 'coef0': 6.0, 'gamma': 0.0001}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,107,0.5,0.3333333333333333
25,0.005195236206054688,0.0003281227533207305,0.0029151439666748047,0.0001691219128065266,0.1,7.5,1,"{'C': 0.1, 'coef0': 7.5, 'gamma': 1}",0.3157894736842105,0.2631578947368421,0.15789473684210525,0.05263157894736842,0.0,0.15789473684210525,0.12001846579990925,75,0.5,0.3333333333333333
26,0.004667806625366211,9.293559883238302e-05,0.002591657638549805,7.770154767502249e-05,0.1,7.5,0.1,"{'C': 0.1, 'coef0': 7.5, 'gamma': 0.1}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,107,0.5,0.3333333333333333
27,0.004698848724365235,6.541149176412838e-05,0.002632904052734375,0.00010772472229135018,0.1,7.5,0.01,"{'C': 0.1, 'coef0': 7.5, 'gamma': 0.01}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,107,0.5,0.3333333333333333
28,0.004695701599121094,0.00017348679243583802,0.0026547908782958984,8.319968096429998e-05,0.1,7.5,0.001,"{'C': 0.1, 'coef0': 7.5, 'gamma': 0.001}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,107,0.5,0.3333333333333333
29,0.004652500152587891,0.0001303798708523939,0.0026743412017822266,7.068505751778245e-05,0.1,7.5,0.0001,"{'C': 0.1, 'coef0': 7.5, 'gamma': 0.0001}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,107,0.5,0.3333333333333333
30,0.005250024795532227,0.00031085329965579864,0.002855348587036133,0.00035274753211814874,0.1,9.0,1,"{'C': 0.1, 'coef0': 9.0, 'gamma': 1}",0.05263157894736842,0.0,0.0,0.0,0.0,0.010526315789473684,0.021052631578947364,97,0.5,0.3333333333333333
31,0.005530548095703125,0.001451407430387701,0.003324747085571289,0.0011902748167659483,0.1,9.0,0.1,"{'C': 0.1, 'coef0': 9.0, 'gamma': 0.1}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,107,0.5,0.3333333333333333
32,0.004821109771728516,0.00029778648128602907,0.0027591705322265623,0.0001889007960797263,0.1,9.0,0.01,"{'C': 0.1, 'coef0': 9.0, 'gamma': 0.01}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,107,0.5,0.3333333333333333
33,0.004538917541503906,0.0001293098150171932,0.002616739273071289,0.00010979889764657947,0.1,9.0,0.001,"{'C': 0.1, 'coef0': 9.0, 'gamma': 0.001}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,107,0.5,0.3333333333333333
34,0.005491924285888672,0.001441017374224398,0.00295867919921875,0.000462018829425463,0.1,9.0,0.0001,"{'C': 0.1, 'coef0': 9.0, 'gamma': 0.0001}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,107,0.5,0.3333333333333333
35,0.006228971481323242,0.0024112632768265013,0.003110313415527344,0.0008903436790248065,0.1,10.5,1,"{'C': 0.1, 'coef0': 10.5, 'gamma': 1}",0.05263157894736842,0.0,0.0,0.0,0.0,0.010526315789473684,0.021052631578947364,97,0.5,0.3333333333333333
36,0.004558753967285156,8.084849599396652e-05,0.0026232242584228516,2.5853897890279443e-05,0.1,10.5,0.1,"{'C': 0.1, 'coef0': 10.5, 'gamma': 0.1}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,107,0.5,0.3333333333333333
37,0.004464435577392578,4.137490495447171e-05,0.0025960922241210936,3.7310915599167576e-05,0.1,10.5,0.01,"{'C': 0.1, 'coef0': 10.5, 'gamma': 0.01}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,107,0.5,0.3333333333333333
38,0.004469442367553711,5.0026876808203095e-05,0.0025646209716796873,3.087475492818078e-05,0.1,10.5,0.001,"{'C': 0.1, 'coef0': 10.5, 'gamma': 0.001}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,107,0.5,0.3333333333333333
39,0.00562891960144043,0.002022691036497139,0.0026648998260498046,0.00016708843505481959,0.1,10.5,0.0001,"{'C': 0.1, 'coef0': 10.5, 'gamma': 0.0001}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,107,0.5,0.3333333333333333
40,0.004981374740600586,0.00024807526365151045,0.0028343677520751955,0.00010993743089627104,0.1,12.0,1,"{'C': 0.1, 'coef0': 12.0, 'gamma': 1}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,107,0.5,0.3333333333333333
41,0.004619455337524414,0.00015113689031039335,0.0026365280151367187,8.440349055105842e-05,0.1,12.0,0.1,"{'C': 0.1, 'coef0': 12.0, 'gamma': 0.1}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,107,0.5,0.3333333333333333
42,0.004614496231079101,0.00023372107034558327,0.0026491165161132814,9.042313711942368e-05,0.1,12.0,0.01,"{'C': 0.1, 'coef0': 12.0, 'gamma': 0.01}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,107,0.5,0.3333333333333333
43,0.004536819458007812,7.412623421124682e-05,0.0026902198791503907,8.178870734212336e-05,0.1,12.0,0.001,"{'C': 0.1, 'coef0': 12.0, 'gamma': 0.001}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,107,0.5,0.3333333333333333
44,0.004574775695800781,0.0002046300982996851,0.002646350860595703,8.935254029812981e-05,0.1,12.0,0.0001,"{'C': 0.1, 'coef0': 12.0, 'gamma': 0.0001}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,107,0.5,0.3333333333333333
45,0.0048940181732177734,0.00030568479020506807,0.002873849868774414,0.00035576076765665303,0.1,13.5,1,"{'C': 0.1, 'coef0': 13.5, 'gamma': 1}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,107,0.5,0.3333333333333333
46,0.00484161376953125,0.0004390953980977192,0.002821063995361328,0.0003030703830616529,0.1,13.5,0.1,"{'C': 0.1, 'coef0': 13.5, 'gamma': 0.1}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,107,0.5,0.3333333333333333
47,0.005822372436523437,0.0012220387993167343,0.003092670440673828,0.0005261010642642534,0.1,13.5,0.01,"{'C': 0.1, 'coef0': 13.5, 'gamma': 0.01}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,107,0.5,0.3333333333333333
48,0.005020761489868164,0.0006051740728711772,0.0025721073150634767,3.414480364246059e-05,0.1,13.5,0.001,"{'C': 0.1, 'coef0': 13.5, 'gamma': 0.001}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,107,0.5,0.3333333333333333
49,0.004613399505615234,0.00020648876928588841,0.0026624202728271484,7.916832432037023e-05,0.1,13.5,0.0001,"{'C': 0.1, 'coef0': 13.5, 'gamma': 0.0001}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,107,0.5,0.3333333333333333
50,0.005176830291748047,0.0005582197280883076,0.002721405029296875,0.00031394201660072226,0.5,0.0,1,"{'C': 0.5, 'coef0': 0.0, 'gamma': 1}",0.5263157894736842,0.3157894736842105,0.5263157894736842,0.42105263157894735,0.3684210526315789,0.43157894736842095,0.08421052631578947,33,0.5,0.3333333333333333
51,0.00460505485534668,0.0002583683520932762,0.0026920318603515627,0.0001761933882803438,0.5,0.0,0.1,"{'C': 0.5, 'coef0': 0.0, 'gamma': 0.1}",0.6842105263157895,0.3684210526315789,0.42105263157894735,0.21052631578947367,0.5263157894736842,0.44210526315789467,0.1582452250355043,27,0.5,0.3333333333333333
52,0.004102563858032227,0.00019270573645078858,0.002432584762573242,4.023132496752558e-05,0.5,0.0,0.01,"{'C': 0.5, 'coef0': 0.0, 'gamma': 0.01}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,107,0.5,0.3333333333333333
53,0.004294586181640625,0.0002689945887944284,0.002559471130371094,0.00033619631672560546,0.5,0.0,0.001,"{'C': 0.5, 'coef0': 0.0, 'gamma': 0.001}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,107,0.5,0.3333333333333333
54,0.004075956344604492,0.00013068760820356316,0.002463817596435547,2.609785134431955e-05,0.5,0.0,0.0001,"{'C': 0.5, 'coef0': 0.0, 'gamma': 0.0001}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,107,0.5,0.3333333333333333
55,0.004830694198608399,0.0005742147146157888,0.0027683734893798827,0.00025096971116276597,0.5,1.5,1,"{'C': 0.5, 'coef0': 1.5, 'gamma': 1}",0.47368421052631576,0.21052631578947367,0.42105263157894735,0.3684210526315789,0.47368421052631576,0.3894736842105263,0.09761703679469161,46,0.5,0.3333333333333333
56,0.004760074615478516,0.00041005756627549944,0.0026685714721679686,0.00013880273470102692,0.5,1.5,0.1,"{'C': 0.5, 'coef0': 1.5, 'gamma': 0.1}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,107,0.5,0.3333333333333333
57,0.004570198059082031,6.227453123608662e-05,0.002526998519897461,6.655235878814978e-05,0.5,1.5,0.01,"{'C': 0.5, 'coef0': 1.5, 'gamma': 0.01}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,107,0.5,0.3333333333333333
58,0.005574846267700195,0.0019766311376556347,0.0026380062103271485,0.00013986379243929986,0.5,1.5,0.001,"{'C': 0.5, 'coef0': 1.5, 'gamma': 0.001}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,107,0.5,0.3333333333333333
59,0.004538583755493164,0.00011465186307473975,0.002585172653198242,0.00012569168808841018,0.5,1.5,0.0001,"{'C': 0.5, 'coef0': 1.5, 'gamma': 0.0001}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,107,0.5,0.3333333333333333
