,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_class_weight,param_coef0,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.006768512725830078,0.0022790213729614738,0.002773761749267578,0.0011181045720169488,0.1,balanced,0.0,1,"{'C': 0.1, 'class_weight': 'balanced', 'coef0': 0.0, 'gamma': 1}",0.6730769230769231,0.6346153846153846,0.6538461538461539,0.6274509803921569,0.5686274509803921,0.6315233785822022,0.035233637316573765,469
1,0.004785394668579102,0.00020548442974845996,0.002000761032104492,9.535460385834296e-05,0.1,balanced,0.0,0.1,"{'C': 0.1, 'class_weight': 'balanced', 'coef0': 0.0, 'gamma': 0.1}",0.7884615384615384,0.6153846153846154,0.6346153846153846,0.6274509803921569,0.6274509803921569,0.6586726998491704,0.06518795415246656,445
2,0.004656219482421875,8.500277385643371e-05,0.002092409133911133,0.00010471938937992297,0.1,balanced,0.0,0.01,"{'C': 0.1, 'class_weight': 'balanced', 'coef0': 0.0, 'gamma': 0.01}",0.6923076923076923,0.6923076923076923,0.3269230769230769,0.5098039215686274,0.6862745098039216,0.5815233785822022,0.14524745914936008,561
3,0.004729223251342773,0.00014818840758976207,0.0020717620849609376,7.949142874902146e-05,0.1,balanced,0.0,0.001,"{'C': 0.1, 'class_weight': 'balanced', 'coef0': 0.0, 'gamma': 0.001}",0.6923076923076923,0.6923076923076923,0.3269230769230769,0.6862745098039216,0.6862745098039216,0.6168174962292609,0.14497231958012594,484
4,0.004742145538330078,0.0002301683133477529,0.0022756576538085936,0.00031974405865708717,0.1,balanced,0.0,0.0001,"{'C': 0.1, 'class_weight': 'balanced', 'coef0': 0.0, 'gamma': 0.0001}",0.6923076923076923,0.6923076923076923,0.3269230769230769,0.6862745098039216,0.3137254901960784,0.5423076923076924,0.18131012117726134,591
5,0.005691003799438476,0.0010601810018907292,0.002298784255981445,0.00016584821369852086,0.1,balanced,1.5,1,"{'C': 0.1, 'class_weight': 'balanced', 'coef0': 1.5, 'gamma': 1}",0.7307692307692307,0.6730769230769231,0.6153846153846154,0.5294117647058824,0.6078431372549019,0.6312971342383107,0.06756356340392675,475
6,0.005380821228027344,0.00013241068148781178,0.00246281623840332,0.00014086042451896466,0.1,balanced,1.5,0.1,"{'C': 0.1, 'class_weight': 'balanced', 'coef0': 1.5, 'gamma': 0.1}",0.7692307692307693,0.5961538461538461,0.6346153846153846,0.5686274509803921,0.5294117647058824,0.6196078431372548,0.08233671020555365,483
7,0.005619573593139649,0.0002544048193785356,0.0022918701171875,6.560409427245623e-05,0.1,balanced,1.5,0.01,"{'C': 0.1, 'class_weight': 'balanced', 'coef0': 1.5, 'gamma': 0.01}",0.6923076923076923,0.6923076923076923,0.3269230769230769,0.5098039215686274,0.6862745098039216,0.5815233785822022,0.14524745914936008,561
8,0.0064332008361816405,0.0015123579882189736,0.0023126602172851562,0.0003549732868915639,0.1,balanced,1.5,0.001,"{'C': 0.1, 'class_weight': 'balanced', 'coef0': 1.5, 'gamma': 0.001}",0.6923076923076923,0.6923076923076923,0.3269230769230769,0.5098039215686274,0.6862745098039216,0.5815233785822022,0.14524745914936008,561
9,0.007090091705322266,0.002446353577691504,0.0023696422576904297,0.00045332121418403224,0.1,balanced,1.5,0.0001,"{'C': 0.1, 'class_weight': 'balanced', 'coef0': 1.5, 'gamma': 0.0001}",0.6923076923076923,0.6923076923076923,0.3269230769230769,0.6862745098039216,0.5882352941176471,0.597209653092006,0.14082272203204527,537
10,0.00823512077331543,0.0019780120729564164,0.003976154327392578,0.0011024434714919844,0.1,balanced,3.0,1,"{'C': 0.1, 'class_weight': 'balanced', 'coef0': 3.0, 'gamma': 1}",0.6538461538461539,0.6346153846153846,0.7307692307692307,0.7058823529411765,0.5490196078431373,0.6548265460030166,0.06321162419649395,449
11,0.008091115951538086,0.0023035290195169995,0.0033101558685302733,0.001063744417208822,0.1,balanced,3.0,0.1,"{'C': 0.1, 'class_weight': 'balanced', 'coef0': 3.0, 'gamma': 0.1}",0.6923076923076923,0.6923076923076923,0.3269230769230769,0.3137254901960784,0.3137254901960784,0.46779788838612363,0.18337482072880948,610
12,0.005187082290649414,0.00018246006718758165,0.0022925853729248045,6.971294021823107e-05,0.1,balanced,3.0,0.01,"{'C': 0.1, 'class_weight': 'balanced', 'coef0': 3.0, 'gamma': 0.01}",0.6923076923076923,0.6923076923076923,0.3269230769230769,0.6862745098039216,0.5882352941176471,0.597209653092006,0.14082272203204527,537
13,0.005635595321655274,0.0003156926181490063,0.002345895767211914,6.651743337156475e-05,0.1,balanced,3.0,0.001,"{'C': 0.1, 'class_weight': 'balanced', 'coef0': 3.0, 'gamma': 0.001}",0.6923076923076923,0.6923076923076923,0.3269230769230769,0.5098039215686274,0.6862745098039216,0.5815233785822022,0.14524745914936008,561
14,0.006034088134765625,0.001079092259600912,0.00253448486328125,0.0003848954281293287,0.1,balanced,3.0,0.0001,"{'C': 0.1, 'class_weight': 'balanced', 'coef0': 3.0, 'gamma': 0.0001}",0.6923076923076923,0.6923076923076923,0.3269230769230769,0.3137254901960784,0.3137254901960784,0.46779788838612363,0.18337482072880948,610
15,0.005295610427856446,0.00017220943435848908,0.002199745178222656,7.960704601292598e-05,0.1,balanced,4.5,1,"{'C': 0.1, 'class_weight': 'balanced', 'coef0': 4.5, 'gamma': 1}",0.6730769230769231,0.6923076923076923,0.6923076923076923,0.7058823529411765,0.6078431372549019,0.6742835595776773,0.03482530158790077,425
