,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_class_weight,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,precision_score,recall_score
58,0.004218864440917969,0.00031874769683871317,0.00256962776184082,0.00012971324008574037,1,"{0: 1, 1: 1.3}",0.001,"{'C': 1, 'class_weight': {0: 1, 1: 1.3}, 'gamma': 0.001}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,107,0.5121951219512195,0.7
59,0.004237127304077148,3.2236237432821174e-05,0.0024937152862548827,0.00011003017167228786,1,"{0: 1, 1: 1.3}",0.0001,"{'C': 1, 'class_weight': {0: 1, 1: 1.3}, 'gamma': 0.0001}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,107,0.5121951219512195,0.7
60,0.005274248123168945,0.0001292810449877329,0.0027246475219726562,0.00011773649221091875,10,balanced,1,"{'C': 10, 'class_weight': 'balanced', 'gamma': 1}",0.058823529411764705,0.0,0.16666666666666666,0.0,0.1111111111111111,0.0673202614379085,0.06468937532893397,87,0.5121951219512195,0.7
61,0.004919099807739258,0.00022775199298824905,0.002503490447998047,5.0801533521847426e-05,10,balanced,0.1,"{'C': 10, 'class_weight': 'balanced', 'gamma': 0.1}",0.6470588235294118,0.4444444444444444,0.3888888888888889,0.4444444444444444,0.3888888888888889,0.4627450980392157,0.09544721735931395,46,0.5121951219512195,0.7
62,0.0046309947967529295,8.107204939815561e-05,0.0024756431579589845,8.562309273325062e-05,10,balanced,0.01,"{'C': 10, 'class_weight': 'balanced', 'gamma': 0.01}",0.7647058823529411,0.6111111111111112,0.6111111111111112,0.7777777777777778,0.6111111111111112,0.6751633986928105,0.07855654499577266,13,0.5121951219512195,0.7
63,0.004834747314453125,0.0006816166366811394,0.002954864501953125,0.0005280102406405847,10,balanced,0.001,"{'C': 10, 'class_weight': 'balanced', 'gamma': 0.001}",0.7058823529411765,0.5555555555555556,0.7222222222222222,0.8333333333333334,0.7222222222222222,0.707843137254902,0.08872052490349462,8,0.5121951219512195,0.7
64,0.004973363876342773,0.00021990101275072248,0.0027614593505859374,9.44269537132239e-05,10,balanced,0.0001,"{'C': 10, 'class_weight': 'balanced', 'gamma': 0.0001}",0.8235294117647058,0.7777777777777778,0.7222222222222222,0.8333333333333334,0.7777777777777778,0.7869281045751635,0.03961668617174311,3,0.5121951219512195,0.7
65,0.005127668380737305,0.00040333278848465003,0.0027779102325439452,8.703729430115186e-05,10,,1,"{'C': 10, 'class_weight': None, 'gamma': 1}",0.058823529411764705,0.0,0.16666666666666666,0.0,0.1111111111111111,0.0673202614379085,0.06468937532893397,87,0.5121951219512195,0.7
66,0.004874420166015625,0.0001855955581575403,0.0025003433227539064,9.326749538461458e-05,10,,0.1,"{'C': 10, 'class_weight': None, 'gamma': 0.1}",0.5294117647058824,0.2777777777777778,0.3333333333333333,0.3888888888888889,0.3888888888888889,0.3836601307189542,0.0837162801769309,71,0.5121951219512195,0.7
67,0.003991365432739258,0.00023165105445543347,0.0023639678955078127,0.0001299033774714101,10,,0.01,"{'C': 10, 'class_weight': None, 'gamma': 0.01}",0.4117647058823529,0.3333333333333333,0.3333333333333333,0.4444444444444444,0.4444444444444444,0.3934640522875817,0.05052587735970637,70,0.5121951219512195,0.7
68,0.00443873405456543,0.001104722684422302,0.0030488491058349608,0.001238558770794208,10,,0.001,"{'C': 10, 'class_weight': None, 'gamma': 0.001}",0.0,0.05555555555555555,0.16666666666666666,0.0,0.16666666666666666,0.07777777777777777,0.0753592220347252,85,0.5121951219512195,0.7
69,0.004150533676147461,0.00019951516299494538,0.002590322494506836,0.0002229455995908199,10,,0.0001,"{'C': 10, 'class_weight': None, 'gamma': 0.0001}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,107,0.5121951219512195,0.7
70,0.00510563850402832,0.0002533608448114477,0.002860546112060547,0.00030871194041226686,10,"{0: 1.0, 1: 1.5}",1,"{'C': 10, 'class_weight': {0: 1.0, 1: 1.5}, 'gamma': 1}",0.058823529411764705,0.0,0.16666666666666666,0.0,0.1111111111111111,0.0673202614379085,0.06468937532893397,87,0.5121951219512195,0.7
71,0.004933547973632812,0.00016649542181080998,0.002714681625366211,0.00027774306901663204,10,"{0: 1.0, 1: 1.5}",0.1,"{'C': 10, 'class_weight': {0: 1.0, 1: 1.5}, 'gamma': 0.1}",0.5294117647058824,0.3333333333333333,0.3333333333333333,0.4444444444444444,0.3333333333333333,0.39477124183006534,0.07989912047025426,69,0.5121951219512195,0.7
72,0.004441261291503906,0.00012620150992125463,0.0024613380432128907,6.592445733445565e-05,10,"{0: 1.0, 1: 1.5}",0.01,"{'C': 10, 'class_weight': {0: 1.0, 1: 1.5}, 'gamma': 0.01}",0.6470588235294118,0.5,0.3888888888888889,0.6666666666666666,0.5555555555555556,0.5516339869281046,0.10149466103259439,28,0.5121951219512195,0.7
73,0.004343271255493164,8.920908327885383e-05,0.002578401565551758,0.00021082828524431095,10,"{0: 1.0, 1: 1.5}",0.001,"{'C': 10, 'class_weight': {0: 1.0, 1: 1.5}, 'gamma': 0.001}",0.7058823529411765,0.5,0.4444444444444444,0.7222222222222222,0.5555555555555556,0.5856209150326798,0.11071440136945501,23,0.5121951219512195,0.7
74,0.0045360088348388675,0.00024357505757930845,0.002747249603271484,0.00017068575073263668,10,"{0: 1.0, 1: 1.5}",0.0001,"{'C': 10, 'class_weight': {0: 1.0, 1: 1.5}, 'gamma': 0.0001}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,107,0.5121951219512195,0.7
75,0.005211544036865234,0.0005302986280418827,0.0027852535247802736,6.180909582829818e-05,10,"{0: 1, 1: 1.3}",1,"{'C': 10, 'class_weight': {0: 1, 1: 1.3}, 'gamma': 1}",0.058823529411764705,0.0,0.16666666666666666,0.0,0.1111111111111111,0.0673202614379085,0.06468937532893397,87,0.5121951219512195,0.7
76,0.005031967163085937,0.0001574201598623813,0.0025512218475341798,0.00012376846490274473,10,"{0: 1, 1: 1.3}",0.1,"{'C': 10, 'class_weight': {0: 1, 1: 1.3}, 'gamma': 0.1}",0.6470588235294118,0.2777777777777778,0.3333333333333333,0.4444444444444444,0.3333333333333333,0.4071895424836601,0.13159185674950993,67,0.5121951219512195,0.7
