,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_class_weight,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,precision_score,recall_score
113,0.004568815231323242,0.0007186948588457608,0.002679920196533203,0.00020407915102822318,50,"{0: 3, 1: 5}",0.001,"{'C': 50, 'class_weight': {0: 3, 1: 5}, 'gamma': 0.001}",0.7647058823529411,0.5,0.5,0.6666666666666666,0.6111111111111112,0.6084967320261437,0.10132616309779847,24,0.5121951219512195,0.7
114,0.005437803268432617,0.0014596582062174595,0.003717851638793945,0.0012474315553930053,50,"{0: 3, 1: 5}",0.0001,"{'C': 50, 'class_weight': {0: 3, 1: 5}, 'gamma': 0.0001}",0.7058823529411765,0.5,0.4444444444444444,0.7777777777777778,0.6111111111111112,0.607843137254902,0.12395920666113482,27,0.5121951219512195,0.7
115,0.004724836349487305,0.0002642929730752257,0.0029508113861083985,0.0004122122397790735,50,"{0: 1.0, 1: 1.5}",1,"{'C': 50, 'class_weight': {0: 1.0, 1: 1.5}, 'gamma': 1}",0.058823529411764705,0.0,0.16666666666666666,0.0,0.1111111111111111,0.0673202614379085,0.06468937532893397,111,0.5121951219512195,0.7
116,0.007477426528930664,0.0009076576029980258,0.0033656597137451173,0.0007387954432697964,50,"{0: 1.0, 1: 1.5}",0.1,"{'C': 50, 'class_weight': {0: 1.0, 1: 1.5}, 'gamma': 0.1}",0.7058823529411765,0.2222222222222222,0.5,0.3888888888888889,0.3888888888888889,0.44117647058823534,0.15933509157882533,71,0.5121951219512195,0.7
117,0.005125093460083008,0.0006232707723460314,0.0027236461639404295,0.0001957645298347829,50,"{0: 1.0, 1: 1.5}",0.01,"{'C': 50, 'class_weight': {0: 1.0, 1: 1.5}, 'gamma': 0.01}",0.6470588235294118,0.3888888888888889,0.4444444444444444,0.6666666666666666,0.5555555555555556,0.5405228758169935,0.10928135847595746,39,0.5121951219512195,0.7
118,0.004446792602539063,0.0007826329221791065,0.0026909828186035155,0.0003723049260311956,50,"{0: 1.0, 1: 1.5}",0.001,"{'C': 50, 'class_weight': {0: 1.0, 1: 1.5}, 'gamma': 0.001}",0.7647058823529411,0.5,0.5,0.6666666666666666,0.6111111111111112,0.6084967320261437,0.10132616309779847,24,0.5121951219512195,0.7
119,0.004103517532348633,0.00038489947468684963,0.002874755859375,0.0006890438929747968,50,"{0: 1.0, 1: 1.5}",0.0001,"{'C': 50, 'class_weight': {0: 1.0, 1: 1.5}, 'gamma': 0.0001}",0.5882352941176471,0.5,0.3888888888888889,0.6666666666666666,0.4444444444444444,0.5176470588235293,0.09943666350560242,47,0.5121951219512195,0.7
120,0.005070638656616211,0.0005570119824998323,0.003185606002807617,0.0005774268343428286,50,"{0: 1, 1: 1.3}",1,"{'C': 50, 'class_weight': {0: 1, 1: 1.3}, 'gamma': 1}",0.058823529411764705,0.0,0.16666666666666666,0.0,0.1111111111111111,0.0673202614379085,0.06468937532893397,111,0.5121951219512195,0.7
121,0.0072231292724609375,0.0017792870365404153,0.0029064178466796874,0.00038449635262709675,50,"{0: 1, 1: 1.3}",0.1,"{'C': 50, 'class_weight': {0: 1, 1: 1.3}, 'gamma': 0.1}",0.7058823529411765,0.2222222222222222,0.5,0.3888888888888889,0.3888888888888889,0.44117647058823534,0.15933509157882533,71,0.5121951219512195,0.7
122,0.005045080184936523,0.000247873769700243,0.002683115005493164,0.0003156120781156382,50,"{0: 1, 1: 1.3}",0.01,"{'C': 50, 'class_weight': {0: 1, 1: 1.3}, 'gamma': 0.01}",0.6470588235294118,0.3888888888888889,0.3888888888888889,0.6111111111111112,0.5,0.5071895424836601,0.10807857050245433,52,0.5121951219512195,0.7
123,0.004622125625610351,0.0009697097266940511,0.0030997753143310546,0.0007561659178427799,50,"{0: 1, 1: 1.3}",0.001,"{'C': 50, 'class_weight': {0: 1, 1: 1.3}, 'gamma': 0.001}",0.6470588235294118,0.5,0.3888888888888889,0.6111111111111112,0.5,0.5294117647058824,0.09164321697428034,44,0.5121951219512195,0.7
124,0.004271793365478516,0.0004455197383103164,0.002750587463378906,0.00034475397107275026,50,"{0: 1, 1: 1.3}",0.0001,"{'C': 50, 'class_weight': {0: 1, 1: 1.3}, 'gamma': 0.0001}",0.17647058823529413,0.1111111111111111,0.16666666666666666,0.2777777777777778,0.2777777777777778,0.2019607843137255,0.06579592837475498,99,0.5121951219512195,0.7
125,0.005444860458374024,0.0010393909142380523,0.002948141098022461,0.000241530499037104,100,balanced,1,"{'C': 100, 'class_weight': 'balanced', 'gamma': 1}",0.058823529411764705,0.0,0.16666666666666666,0.0,0.1111111111111111,0.0673202614379085,0.06468937532893397,111,0.5121951219512195,0.7
126,0.0075778961181640625,0.00036062393863041793,0.003448772430419922,0.0009044282316387151,100,balanced,0.1,"{'C': 100, 'class_weight': 'balanced', 'gamma': 0.1}",0.5882352941176471,0.2777777777777778,0.5,0.4444444444444444,0.3333333333333333,0.4287581699346405,0.11194229670054731,83,0.5121951219512195,0.7
127,0.005721330642700195,0.00015928323990244513,0.0030716896057128907,0.000950222558844319,100,balanced,0.01,"{'C': 100, 'class_weight': 'balanced', 'gamma': 0.01}",0.7058823529411765,0.5555555555555556,0.4444444444444444,0.7777777777777778,0.6666666666666666,0.6300653594771242,0.11739988559120369,21,0.5121951219512195,0.7
128,0.005170965194702148,0.0011232137232174348,0.0027456283569335938,0.00013540328262523613,100,balanced,0.001,"{'C': 100, 'class_weight': 'balanced', 'gamma': 0.001}",0.7647058823529411,0.5555555555555556,0.5,0.8333333333333334,0.7222222222222222,0.6751633986928105,0.12667941415853406,13,0.5121951219512195,0.7
129,0.004806375503540039,0.000416997369172124,0.003063344955444336,0.0007263301643796666,100,balanced,0.0001,"{'C': 100, 'class_weight': 'balanced', 'gamma': 0.0001}",0.7058823529411765,0.5,0.7222222222222222,0.7777777777777778,0.7222222222222222,0.6856209150326797,0.09595608234049005,12,0.5121951219512195,0.7
130,0.004916238784790039,0.00014646209917468548,0.0030810356140136717,0.0004281503663738607,100,,1,"{'C': 100, 'class_weight': None, 'gamma': 1}",0.058823529411764705,0.0,0.16666666666666666,0.0,0.1111111111111111,0.0673202614379085,0.06468937532893397,111,0.5121951219512195,0.7
