,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_coef0,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
291,0.004241657257080078,0.00022323331070114052,0.0018978595733642578,0.00015844886210762162,100,12.0,0.1,sigmoid,"{'C': 100, 'coef0': 12.0, 'gamma': 0.1, 'kernel': 'sigmoid'}",0.35384615384615387,0.3384615384615385,0.3384615384615385,0.34375,0.34375,0.34365384615384614,0.005618215829996747,255
292,0.00411067008972168,0.0002064892427768617,0.0017824172973632812,8.687326572625329e-05,100,12.0,0.01,sigmoid,"{'C': 100, 'coef0': 12.0, 'gamma': 0.01, 'kernel': 'sigmoid'}",0.35384615384615387,0.3384615384615385,0.3384615384615385,0.34375,0.34375,0.34365384615384614,0.005618215829996747,255
293,0.004035139083862304,0.0003467357913414306,0.0018358230590820312,0.00024165978277053833,100,12.0,0.001,sigmoid,"{'C': 100, 'coef0': 12.0, 'gamma': 0.001, 'kernel': 'sigmoid'}",0.35384615384615387,0.3384615384615385,0.3384615384615385,0.34375,0.34375,0.34365384615384614,0.005618215829996747,255
294,0.006110334396362304,0.000523514141284841,0.0021235466003417967,7.793310746179409e-05,100,12.0,0.0001,sigmoid,"{'C': 100, 'coef0': 12.0, 'gamma': 0.0001, 'kernel': 'sigmoid'}",0.35384615384615387,0.3384615384615385,0.3384615384615385,0.34375,0.34375,0.34365384615384614,0.005618215829996747,255
295,0.004179716110229492,0.0003298063086140798,0.001764822006225586,9.24473259220605e-05,100,13.5,1,sigmoid,"{'C': 100, 'coef0': 13.5, 'gamma': 1, 'kernel': 'sigmoid'}",0.35384615384615387,0.3384615384615385,0.3384615384615385,0.34375,0.34375,0.34365384615384614,0.005618215829996747,255
296,0.004148149490356445,0.0002515656371387962,0.0018638134002685546,0.00026746576185273854,100,13.5,0.1,sigmoid,"{'C': 100, 'coef0': 13.5, 'gamma': 0.1, 'kernel': 'sigmoid'}",0.35384615384615387,0.3384615384615385,0.3384615384615385,0.34375,0.34375,0.34365384615384614,0.005618215829996747,255
297,0.004266786575317383,0.0003820740681014089,0.0017596721649169923,0.0001158746279365304,100,13.5,0.01,sigmoid,"{'C': 100, 'coef0': 13.5, 'gamma': 0.01, 'kernel': 'sigmoid'}",0.35384615384615387,0.3384615384615385,0.3384615384615385,0.34375,0.34375,0.34365384615384614,0.005618215829996747,255
298,0.004108285903930664,0.0001823461454423956,0.0018416881561279298,0.0002516586696873808,100,13.5,0.001,sigmoid,"{'C': 100, 'coef0': 13.5, 'gamma': 0.001, 'kernel': 'sigmoid'}",0.35384615384615387,0.3384615384615385,0.3384615384615385,0.34375,0.34375,0.34365384615384614,0.005618215829996747,255
299,0.006298971176147461,0.0003086207232002523,0.002382993698120117,0.0002940278217066182,100,13.5,0.0001,sigmoid,"{'C': 100, 'coef0': 13.5, 'gamma': 0.0001, 'kernel': 'sigmoid'}",0.35384615384615387,0.3384615384615385,0.3384615384615385,0.34375,0.34375,0.34365384615384614,0.005618215829996747,255
300,0.004393482208251953,0.00014106843521508722,0.0018718242645263672,0.00011544502354298403,1000,0.0,1,sigmoid,"{'C': 1000, 'coef0': 0.0, 'gamma': 1, 'kernel': 'sigmoid'}",0.6461538461538462,0.6615384615384615,0.6615384615384615,0.65625,0.65625,0.6563461538461539,0.005618215829996726,1
301,0.004217767715454101,0.00026172507870518704,0.0018280029296875,0.00013479853330098046,1000,0.0,0.1,sigmoid,"{'C': 1000, 'coef0': 0.0, 'gamma': 0.1, 'kernel': 'sigmoid'}",0.6461538461538462,0.6615384615384615,0.6615384615384615,0.65625,0.65625,0.6563461538461539,0.005618215829996726,1
302,0.00410151481628418,0.00032601377778146076,0.001812314987182617,0.00026187550298645713,1000,0.0,0.01,sigmoid,"{'C': 1000, 'coef0': 0.0, 'gamma': 0.01, 'kernel': 'sigmoid'}",0.6461538461538462,0.6615384615384615,0.6615384615384615,0.65625,0.65625,0.6563461538461539,0.005618215829996726,1
303,0.005179023742675782,0.0005183941168905088,0.0019631385803222656,4.176206146117923e-05,1000,0.0,0.001,sigmoid,"{'C': 1000, 'coef0': 0.0, 'gamma': 0.001, 'kernel': 'sigmoid'}",0.6461538461538462,0.6615384615384615,0.6615384615384615,0.65625,0.65625,0.6563461538461539,0.005618215829996726,1
304,0.004641342163085938,0.0004504769847192792,0.0019195079803466797,0.0002923443857216512,1000,0.0,0.0001,sigmoid,"{'C': 1000, 'coef0': 0.0, 'gamma': 0.0001, 'kernel': 'sigmoid'}",0.35384615384615387,0.27692307692307694,0.46153846153846156,0.375,0.546875,0.4028365384615385,0.09297539957448692,250
305,0.004152917861938476,0.00040281239397598433,0.0017442703247070312,9.428603270092282e-05,1000,1.5,1,sigmoid,"{'C': 1000, 'coef0': 1.5, 'gamma': 1, 'kernel': 'sigmoid'}",0.6461538461538462,0.6615384615384615,0.6615384615384615,0.65625,0.65625,0.6563461538461539,0.005618215829996726,1
306,0.004205560684204102,0.00023100531522716599,0.0017895221710205079,0.00017958046964751495,1000,1.5,0.1,sigmoid,"{'C': 1000, 'coef0': 1.5, 'gamma': 0.1, 'kernel': 'sigmoid'}",0.6461538461538462,0.6615384615384615,0.6615384615384615,0.65625,0.65625,0.6563461538461539,0.005618215829996726,1
307,0.0041600227355957035,0.00019983844234234885,0.0018695831298828126,0.00023450464576673164,1000,1.5,0.01,sigmoid,"{'C': 1000, 'coef0': 1.5, 'gamma': 0.01, 'kernel': 'sigmoid'}",0.6461538461538462,0.6615384615384615,0.6615384615384615,0.65625,0.65625,0.6563461538461539,0.005618215829996726,1
308,0.004395532608032227,0.00040860279867517004,0.001855611801147461,0.00015267488860542435,1000,1.5,0.001,sigmoid,"{'C': 1000, 'coef0': 1.5, 'gamma': 0.001, 'kernel': 'sigmoid'}",0.6461538461538462,0.6615384615384615,0.6615384615384615,0.65625,0.65625,0.6563461538461539,0.005618215829996726,1
309,0.004792118072509765,0.0005536746281454061,0.0020162582397460936,0.00031737256062208495,1000,1.5,0.0001,sigmoid,"{'C': 1000, 'coef0': 1.5, 'gamma': 0.0001, 'kernel': 'sigmoid'}",0.35384615384615387,0.27692307692307694,0.46153846153846156,0.375,0.546875,0.4028365384615385,0.09297539957448692,250
